layout,envFactor,interference,identicalRuns,totalRuns,identicalPct,verdict
around,2,0,19,20,95.0,degenerate
around,2.25,0,18,20,90.0,degenerate
around,2.5,0,20,20,100.0,degenerate
around,2.625,0,19,20,95.0,degenerate
around,3,0,13,20,65.0,degenerate
circle,2,0,16,20,80.0,degenerate
circle,2.25,0,0,20,0.0,DISCRIMINATING
circle,2.5,0,0,20,0.0,DISCRIMINATING
circle,2.625,0,0,20,0.0,DISCRIMINATING
circle,3,0,7,20,35.0,DISCRIMINATING
line,2,0,0,20,0.0,DISCRIMINATING
line,2.25,0,0,20,0.0,DISCRIMINATING
line,2.5,0,0,20,0.0,DISCRIMINATING
line,2.625,0,0,20,0.0,DISCRIMINATING
line,3,0,13,20,65.0,degenerate
one-side,2,0,19,20,95.0,degenerate
one-side,2.25,0,20,20,100.0,degenerate
one-side,2.5,0,18,20,90.0,degenerate
one-side,2.625,0,12,20,60.0,degenerate
one-side,3,0,0,20,0.0,DISCRIMINATING
triangle,2,0,15,20,75.0,degenerate
triangle,2,1,0,20,0.0,DISCRIMINATING
triangle,2.25,0,0,20,0.0,DISCRIMINATING
triangle,2.25,1,0,20,0.0,DISCRIMINATING
triangle,2.5,0,0,20,0.0,DISCRIMINATING
triangle,2.5,1,0,20,0.0,DISCRIMINATING
triangle,2.625,0,0,20,0.0,DISCRIMINATING
triangle,2.625,1,0,20,0.0,DISCRIMINATING
triangle,3,0,0,20,0.0,DISCRIMINATING
triangle,3,1,11,20,55.0,degenerate
u-shaped,2,0,2,20,10.0,DISCRIMINATING
u-shaped,2.25,0,0,20,0.0,DISCRIMINATING
u-shaped,2.5,0,0,20,0.0,DISCRIMINATING
u-shaped,2.625,0,0,20,0.0,DISCRIMINATING
u-shaped,3,0,3,20,15.0,DISCRIMINATING
