layout,envFactor,interference,identicalRuns,totalRuns,identicalPct,verdict
around,2,0,8,20,40.0,DISCRIMINATING
around,2.25,0,4,20,20.0,DISCRIMINATING
around,2.5,0,0,20,0.0,DISCRIMINATING
around,2.625,0,0,20,0.0,DISCRIMINATING
around,3,0,0,20,0.0,DISCRIMINATING
circle,2,0,8,20,40.0,DISCRIMINATING
circle,2.25,0,0,20,0.0,DISCRIMINATING
circle,2.5,0,0,20,0.0,DISCRIMINATING
circle,2.625,0,0,20,0.0,DISCRIMINATING
circle,3,0,1,20,5.0,DISCRIMINATING
line,2,0,0,20,0.0,DISCRIMINATING
line,2.25,0,0,20,0.0,DISCRIMINATING
line,2.5,0,0,20,0.0,DISCRIMINATING
line,2.625,0,0,20,0.0,DISCRIMINATING
line,3,0,0,20,0.0,DISCRIMINATING
one-side,2,0,13,20,65.0,degenerate
one-side,2.25,0,8,20,40.0,DISCRIMINATING
one-side,2.5,0,2,20,10.0,DISCRIMINATING
one-side,2.625,0,1,20,5.0,DISCRIMINATING
one-side,3,0,0,20,0.0,DISCRIMINATING
triangle,2,0,2,20,10.0,DISCRIMINATING
triangle,2,1,0,20,0.0,DISCRIMINATING
triangle,2.25,0,0,20,0.0,DISCRIMINATING
triangle,2.25,1,0,20,0.0,DISCRIMINATING
triangle,2.5,0,0,20,0.0,DISCRIMINATING
triangle,2.5,1,0,20,0.0,DISCRIMINATING
triangle,2.625,0,0,20,0.0,DISCRIMINATING
triangle,2.625,1,0,20,0.0,DISCRIMINATING
triangle,3,0,0,20,0.0,DISCRIMINATING
triangle,3,1,4,20,20.0,DISCRIMINATING
u-shaped,2,0,3,20,15.0,DISCRIMINATING
u-shaped,2.25,0,0,20,0.0,DISCRIMINATING
u-shaped,2.5,0,0,20,0.0,DISCRIMINATING
u-shaped,2.625,0,0,20,0.0,DISCRIMINATING
u-shaped,3,0,1,20,5.0,DISCRIMINATING
