layout,envFactor,comparedMetric,n_leo,n_compared,t_statistic,p_value,pctDiff_leo_vs_compared,verdict_on_totalEnergyMWs
circle,2.25,hopcount,20,20,0.4697,0.641274,1.1,not_significant (leo_higher)
circle,2.25,lqi,20,20,5.7444,2e-06,12.06,significant (leo_higher)
circle,2.25,lqi-literal,20,20,0.4697,0.641274,1.1,not_significant (leo_higher)
circle,2.5,hopcount,20,20,-0.5407,0.59186,-1.29,not_significant (leo_lower)
circle,2.5,lqi,20,20,0.9149,0.366115,2.35,not_significant (leo_higher)
circle,2.5,lqi-literal,20,20,-0.5407,0.59186,-1.29,not_significant (leo_lower)
circle,2.625,hopcount,20,20,2.0408,0.048519,5.51,significant (leo_higher)
circle,2.625,lqi,20,20,0.3792,0.706737,1.18,not_significant (leo_higher)
circle,2.625,lqi-literal,20,20,2.0408,0.048519,5.51,significant (leo_higher)
circle,3,hopcount,20,20,0.1201,0.905068,0.67,not_significant (leo_higher)
circle,3,lqi,20,20,-0.1665,0.868709,-0.85,not_significant (leo_lower)
circle,3,lqi-literal,20,20,0.1201,0.905068,0.67,not_significant (leo_higher)
line,2,hopcount,20,20,0.3336,0.740535,0.86,not_significant (leo_higher)
line,2,lqi,20,20,4.998,1.4e-05,13.08,significant (leo_higher)
line,2,lqi-literal,20,20,0.3336,0.740535,0.86,not_significant (leo_higher)
line,2.25,hopcount,20,20,1.1772,0.246441,3.61,not_significant (leo_higher)
line,2.25,lqi,20,20,0.8496,0.400896,2.62,not_significant (leo_higher)
line,2.25,lqi-literal,20,20,1.1772,0.246441,3.61,not_significant (leo_higher)
line,2.5,hopcount,20,20,1.163,0.252542,4.17,not_significant (leo_higher)
line,2.5,lqi,20,20,1.8414,0.073838,6.8,not_significant (leo_higher)
line,2.5,lqi-literal,20,20,1.163,0.252542,4.17,not_significant (leo_higher)
line,2.625,hopcount,20,20,1.1611,0.253028,5.5,not_significant (leo_higher)
line,2.625,lqi,20,20,0.6482,0.520784,2.64,not_significant (leo_higher)
line,2.625,lqi-literal,20,20,1.1611,0.253028,5.5,not_significant (leo_higher)
one-side,3,hopcount,20,20,4.7744,2.8e-05,10.29,significant (leo_higher)
one-side,3,lqi,20,20,5.7749,1e-06,11.36,significant (leo_higher)
one-side,3,lqi-literal,20,20,4.7744,2.8e-05,10.29,significant (leo_higher)
triangle,2,hopcount,20,20,2.3693,0.023048,8.6,significant (leo_higher)
triangle,2,lqi,20,20,3.6332,0.000911,12.3,significant (leo_higher)
triangle,2,lqi-literal,20,20,2.3693,0.023048,8.6,significant (leo_higher)
triangle,2.25,hopcount,40,40,0.8085,0.421248,4.22,not_significant (leo_higher)
triangle,2.25,lqi,40,40,3.1944,0.002071,16.69,significant (leo_higher)
triangle,2.25,lqi-literal,40,40,0.8085,0.421248,4.22,not_significant (leo_higher)
triangle,2.5,hopcount,40,40,0.4397,0.661365,2.66,not_significant (leo_higher)
triangle,2.5,lqi,40,40,1.3037,0.196182,8.3,not_significant (leo_higher)
triangle,2.5,lqi-literal,40,40,0.4397,0.661365,2.66,not_significant (leo_higher)
triangle,2.625,hopcount,40,40,-0.3208,0.749242,-1.94,not_significant (leo_lower)
triangle,2.625,lqi,40,40,-0.4684,0.640774,-2.84,not_significant (leo_lower)
triangle,2.625,lqi-literal,40,40,-0.3208,0.749242,-1.94,not_significant (leo_lower)
triangle,3,hopcount,20,20,1.313,0.197312,5.54,not_significant (leo_higher)
triangle,3,lqi,20,20,-0.0648,0.948725,-0.25,not_significant (leo_lower)
triangle,3,lqi-literal,20,20,1.313,0.197312,5.54,not_significant (leo_higher)
u-shaped,2,hopcount,20,20,1.6916,0.100044,1.96,not_significant (leo_higher)
u-shaped,2,lqi,20,20,6.3209,0.0,7.6,significant (leo_higher)
u-shaped,2,lqi-literal,20,20,1.6916,0.100044,1.96,not_significant (leo_higher)
u-shaped,2.25,hopcount,20,20,1.2415,0.222194,3.54,not_significant (leo_higher)
u-shaped,2.25,lqi,20,20,5.2551,7e-06,13.98,significant (leo_higher)
u-shaped,2.25,lqi-literal,20,20,1.2415,0.222194,3.54,not_significant (leo_higher)
u-shaped,2.5,hopcount,20,20,0.3003,0.765617,1.04,not_significant (leo_higher)
u-shaped,2.5,lqi,20,20,-0.6496,0.519944,-2.03,not_significant (leo_lower)
u-shaped,2.5,lqi-literal,20,20,0.3003,0.765617,1.04,not_significant (leo_higher)
u-shaped,2.625,hopcount,20,20,-0.1058,0.91634,-0.38,not_significant (leo_lower)
u-shaped,2.625,lqi,20,20,-0.7552,0.455104,-2.69,not_significant (leo_lower)
u-shaped,2.625,lqi-literal,20,20,-0.1058,0.91634,-0.38,not_significant (leo_lower)
u-shaped,3,hopcount,20,20,1.2766,0.209502,10.28,not_significant (leo_higher)
u-shaped,3,lqi,20,20,0.1603,0.873556,1.46,not_significant (leo_higher)
u-shaped,3,lqi-literal,20,20,1.2766,0.209502,10.28,not_significant (leo_higher)
