layout,envFactor,comparedMetric,n_leo,n_compared,t_statistic,p_value,pctDiff_leo_vs_compared,verdict_on_pingTimeouts
circle,2.25,hopcount,20,20,-1.8353,0.074328,-11.43,not_significant (leo_lower)
circle,2.25,lqi,20,20,3.4484,0.001398,31.91,significant (leo_higher)
circle,2.25,lqi-literal,20,20,-1.8353,0.074328,-11.43,not_significant (leo_lower)
circle,2.5,hopcount,20,20,-4.1213,0.000203,-18.56,significant (leo_lower)
circle,2.5,lqi,20,20,5.1067,1e-05,40.93,significant (leo_higher)
circle,2.5,lqi-literal,20,20,-4.1213,0.000203,-18.56,significant (leo_lower)
circle,2.625,hopcount,20,20,-0.8815,0.384191,-7.52,not_significant (leo_lower)
circle,2.625,lqi,20,20,2.1858,0.035168,21.46,significant (leo_higher)
circle,2.625,lqi-literal,20,20,-0.8815,0.384191,-7.52,not_significant (leo_lower)
circle,3,hopcount,20,20,0.0,1.0,0.0,not_significant (leo_higher)
circle,3,lqi,20,20,1.1083,0.274739,16.33,not_significant (leo_higher)
circle,3,lqi-literal,20,20,0.0,1.0,0.0,not_significant (leo_higher)
line,2,hopcount,20,20,-1.7691,0.085011,-10.82,not_significant (leo_lower)
line,2,lqi,20,20,3.2056,0.002744,27.62,significant (leo_higher)
line,2,lqi-literal,20,20,-1.7691,0.085011,-10.82,not_significant (leo_lower)
line,2.25,hopcount,20,20,-2.2565,0.030761,-11.58,significant (leo_lower)
line,2.25,lqi,20,20,0.9694,0.338817,5.33,not_significant (leo_higher)
line,2.25,lqi-literal,20,20,-2.2565,0.030761,-11.58,significant (leo_lower)
line,2.5,hopcount,20,20,-3.9412,0.000338,-14.35,significant (leo_lower)
line,2.5,lqi,20,20,0.0418,0.966915,0.25,not_significant (leo_higher)
line,2.5,lqi-literal,20,20,-3.9412,0.000338,-14.35,significant (leo_lower)
line,2.625,hopcount,20,20,-0.9888,0.329544,-5.26,not_significant (leo_lower)
line,2.625,lqi,20,20,0.0,1.0,0.0,not_significant (leo_higher)
line,2.625,lqi-literal,20,20,-0.9888,0.329544,-5.26,not_significant (leo_lower)
one-side,3,hopcount,20,20,1.3937,0.171552,6.86,not_significant (leo_higher)
one-side,3,lqi,20,20,-0.4251,0.673157,-1.95,not_significant (leo_lower)
one-side,3,lqi-literal,20,20,1.3937,0.171552,6.86,not_significant (leo_higher)
triangle,2,hopcount,20,20,-0.6831,0.49928,-5.93,not_significant (leo_lower)
triangle,2,lqi,20,20,0.413,0.681924,3.25,not_significant (leo_higher)
triangle,2,lqi-literal,20,20,-0.6831,0.49928,-5.93,not_significant (leo_lower)
triangle,2.25,hopcount,40,40,0.1455,0.884661,1.03,not_significant (leo_higher)
triangle,2.25,lqi,40,40,11.0909,0.0,253.01,significant (leo_higher)
triangle,2.25,lqi-literal,40,40,0.1455,0.884661,1.03,not_significant (leo_higher)
triangle,2.5,hopcount,40,40,-0.901,0.370403,-7.01,not_significant (leo_lower)
triangle,2.5,lqi,40,40,4.5776,1.8e-05,54.89,significant (leo_higher)
triangle,2.5,lqi-literal,40,40,-0.901,0.370403,-7.01,not_significant (leo_lower)
triangle,2.625,hopcount,40,40,0.4315,0.667321,5.57,not_significant (leo_higher)
triangle,2.625,lqi,40,40,1.6403,0.104997,23.86,not_significant (leo_higher)
triangle,2.625,lqi-literal,40,40,0.4315,0.667321,5.57,not_significant (leo_higher)
triangle,3,hopcount,20,20,-0.3086,0.759328,-2.68,not_significant (leo_lower)
triangle,3,lqi,20,20,1.5254,0.13549,16.58,not_significant (leo_higher)
triangle,3,lqi-literal,20,20,-0.3086,0.759328,-2.68,not_significant (leo_lower)
u-shaped,2,hopcount,20,20,0.6412,0.5253,11.27,not_significant (leo_higher)
u-shaped,2,lqi,20,20,3.5495,0.001115,107.89,significant (leo_higher)
u-shaped,2,lqi-literal,20,20,0.6412,0.5253,11.27,not_significant (leo_higher)
u-shaped,2.25,hopcount,20,20,-0.1633,0.87124,-0.83,not_significant (leo_lower)
u-shaped,2.25,lqi,20,20,2.863,0.007035,17.38,significant (leo_higher)
u-shaped,2.25,lqi-literal,20,20,-0.1633,0.87124,-0.83,not_significant (leo_lower)
u-shaped,2.5,hopcount,20,20,-3.6657,0.000895,-16.37,significant (leo_lower)
u-shaped,2.5,lqi,20,20,-1.4944,0.144467,-6.98,not_significant (leo_lower)
u-shaped,2.5,lqi-literal,20,20,-3.6657,0.000895,-16.37,significant (leo_lower)
u-shaped,2.625,hopcount,20,20,-2.3411,0.02559,-10.19,significant (leo_lower)
u-shaped,2.625,lqi,20,20,0.0807,0.936121,0.3,not_significant (leo_higher)
u-shaped,2.625,lqi-literal,20,20,-2.3411,0.02559,-10.19,significant (leo_lower)
u-shaped,3,hopcount,20,20,0.0,1.0,0.0,not_significant (leo_higher)
u-shaped,3,lqi,20,20,-0.7415,0.463902,-7.89,not_significant (leo_lower)
u-shaped,3,lqi-literal,20,20,0.0,1.0,0.0,not_significant (leo_higher)
