layout,envFactor,comparedMetric,n_leo,n_compared,t_statistic,p_value,pctDiff_leo_vs_compared,verdict_on_totalEnergyMWs
around,3,hopcount,20,20,-0.1526,0.879608,-0.29,not_significant (leo_lower)
around,3,lqi,20,20,0.6687,0.508113,1.31,not_significant (leo_higher)
around,3,lqi-literal,20,20,-0.1526,0.879608,-0.29,not_significant (leo_lower)
circle,2.25,hopcount,20,20,1.9943,0.053566,3.14,not_significant (leo_higher)
circle,2.25,lqi,20,20,5.1356,9e-06,7.13,significant (leo_higher)
circle,2.25,lqi-literal,20,20,1.9943,0.053566,3.14,not_significant (leo_higher)
circle,2.5,hopcount,20,20,1.3924,0.171906,3.7,not_significant (leo_higher)
circle,2.5,lqi,20,20,0.6974,0.489779,1.81,not_significant (leo_higher)
circle,2.5,lqi-literal,20,20,1.3924,0.171906,3.7,not_significant (leo_higher)
circle,2.625,hopcount,20,20,0.5811,0.564757,2.02,not_significant (leo_higher)
circle,2.625,lqi,20,20,-0.4746,0.638217,-1.47,not_significant (leo_lower)
circle,2.625,lqi-literal,20,20,0.5811,0.564757,2.02,not_significant (leo_higher)
circle,3,hopcount,20,20,1.6708,0.103173,13.26,not_significant (leo_higher)
circle,3,lqi,20,20,0.9522,0.347551,6.72,not_significant (leo_higher)
circle,3,lqi-literal,20,20,1.6708,0.103173,13.26,not_significant (leo_higher)
line,2,hopcount,20,20,2.2542,0.030044,5.88,significant (leo_higher)
line,2,lqi,20,20,5.6395,2e-06,14.88,significant (leo_higher)
line,2,lqi-literal,20,20,2.2542,0.030044,5.88,significant (leo_higher)
line,2.25,hopcount,20,20,0.4337,0.66711,1.5,not_significant (leo_higher)
line,2.25,lqi,20,20,2.5336,0.01674,8.54,significant (leo_higher)
line,2.25,lqi-literal,20,20,0.4337,0.66711,1.5,not_significant (leo_higher)
line,2.5,hopcount,20,20,1.289,0.205177,4.63,not_significant (leo_higher)
line,2.5,lqi,20,20,0.1824,0.856272,0.63,not_significant (leo_higher)
line,2.5,lqi-literal,20,20,1.289,0.205177,4.63,not_significant (leo_higher)
line,2.625,hopcount,20,20,-0.6943,0.491749,-3.11,not_significant (leo_lower)
line,2.625,lqi,20,20,0.5195,0.606519,2.34,not_significant (leo_higher)
line,2.625,lqi-literal,20,20,-0.6943,0.491749,-3.11,not_significant (leo_lower)
line,3,hopcount,20,20,0.6448,0.522988,6.26,not_significant (leo_higher)
line,3,lqi,20,20,0.674,0.504374,6.81,not_significant (leo_higher)
line,3,lqi-literal,20,20,0.6448,0.522988,6.26,not_significant (leo_higher)
one-side,2.625,hopcount,20,20,0.6142,0.542821,0.79,not_significant (leo_higher)
one-side,2.625,lqi,20,20,4.0634,0.000316,4.68,significant (leo_higher)
one-side,2.625,lqi-literal,20,20,0.6349,0.529362,0.82,not_significant (leo_higher)
one-side,3,hopcount,20,20,5.9359,2e-06,16.39,significant (leo_higher)
one-side,3,lqi,20,20,6.0036,1e-06,18.39,significant (leo_higher)
one-side,3,lqi-literal,20,20,5.9035,2e-06,16.56,significant (leo_higher)
triangle,2,hopcount,20,20,1.5526,0.12885,4.11,not_significant (leo_higher)
triangle,2,lqi,20,20,2.9866,0.004929,7.61,significant (leo_higher)
