layout,envFactor,comparedMetric,n_leo,n_compared,t_statistic,p_value,pctDiff_leo_vs_compared,verdict_on_pingTimeouts
around,3,hopcount,20,20,-0.4893,0.627476,-12.12,not_significant (leo_lower)
around,3,lqi,20,20,0.8229,0.415775,31.82,not_significant (leo_higher)
around,3,lqi-literal,20,20,-0.4893,0.627476,-12.12,not_significant (leo_lower)
circle,2.25,hopcount,20,20,-1.4551,0.15693,-9.76,not_significant (leo_lower)
circle,2.25,lqi,20,20,4.9626,1.5e-05,31.37,significant (leo_higher)
circle,2.25,lqi-literal,20,20,-1.4551,0.15693,-9.76,not_significant (leo_lower)
circle,2.5,hopcount,20,20,-1.4754,0.148532,-7.58,not_significant (leo_lower)
circle,2.5,lqi,20,20,3.1908,0.002878,21.4,significant (leo_higher)
circle,2.5,lqi-literal,20,20,-1.4754,0.148532,-7.58,not_significant (leo_lower)
circle,2.625,hopcount,20,20,-2.0208,0.051268,-13.26,not_significant (leo_lower)
circle,2.625,lqi,20,20,0.8059,0.425482,5.72,not_significant (leo_higher)
circle,2.625,lqi-literal,20,20,-2.0208,0.051268,-13.26,not_significant (leo_lower)
circle,3,hopcount,20,20,-0.8375,0.408235,-8.48,not_significant (leo_lower)
circle,3,lqi,20,20,-0.2755,0.784592,-2.84,not_significant (leo_lower)
circle,3,lqi-literal,20,20,-0.8375,0.408235,-8.48,not_significant (leo_lower)
line,2,hopcount,20,20,-0.7075,0.484408,-3.93,not_significant (leo_lower)
line,2,lqi,20,20,4.5114,7.2e-05,31.4,significant (leo_higher)
line,2,lqi-literal,20,20,-0.7075,0.484408,-3.93,not_significant (leo_lower)
line,2.25,hopcount,20,20,-1.6135,0.114926,-9.2,not_significant (leo_lower)
line,2.25,lqi,20,20,1.1187,0.27052,6.73,not_significant (leo_higher)
line,2.25,lqi-literal,20,20,-1.6135,0.114926,-9.2,not_significant (leo_lower)
line,2.5,hopcount,20,20,-3.6762,0.00078,-14.47,significant (leo_lower)
line,2.5,lqi,20,20,-2.1948,0.034785,-9.09,significant (leo_lower)
line,2.5,lqi-literal,20,20,-3.6762,0.00078,-14.47,significant (leo_lower)
line,2.625,hopcount,20,20,-0.8869,0.380751,-3.85,not_significant (leo_lower)
line,2.625,lqi,20,20,-0.4086,0.685463,-2.2,not_significant (leo_lower)
line,2.625,lqi-literal,20,20,-0.8869,0.380751,-3.85,not_significant (leo_lower)
line,3,hopcount,20,20,-0.3319,0.741813,-3.39,not_significant (leo_lower)
line,3,lqi,20,20,-0.2538,0.801049,-2.56,not_significant (leo_lower)
line,3,lqi-literal,20,20,-0.3319,0.741813,-3.39,not_significant (leo_lower)
one-side,2.625,hopcount,20,20,-0.2956,0.769201,-8.7,not_significant (leo_lower)
one-side,2.625,lqi,20,20,1.7257,0.092812,90.91,not_significant (leo_higher)
one-side,2.625,lqi-literal,20,20,-0.1491,0.882296,-4.55,not_significant (leo_lower)
one-side,3,hopcount,20,20,1.1997,0.237967,6.37,not_significant (leo_higher)
one-side,3,lqi,20,20,1.5372,0.133402,9.11,not_significant (leo_higher)
one-side,3,lqi-literal,20,20,1.273,0.211067,6.78,not_significant (leo_higher)
triangle,2,hopcount,20,20,0.1304,0.896956,1.46,not_significant (leo_higher)
triangle,2,lqi,20,20,-0.7708,0.44581,-6.71,not_significant (leo_lower)
triangle,2,lqi-literal,20,20,0.1304,0.896956,1.46,not_significant (leo_higher)
triangle,2.25,hopcount,40,40,-0.2116,0.83295,-1.48,not_significant (leo_lower)
triangle,2.25,lqi,40,40,11.4191,0.0,268.89,significant (leo_higher)
triangle,2.25,lqi-literal,40,40,-0.2116,0.83295,-1.48,not_significant (leo_lower)
triangle,2.5,hopcount,40,40,0.1373,0.891142,1.3,not_significant (leo_higher)
triangle,2.5,lqi,40,40,2.9667,0.004,35.94,significant (leo_higher)
triangle,2.5,lqi-literal,40,40,0.1373,0.891142,1.3,not_significant (leo_higher)
triangle,2.625,hopcount,40,40,-0.0618,0.950914,-0.68,not_significant (leo_lower)
triangle,2.625,lqi,40,40,2.0807,0.040863,26.67,significant (leo_higher)
triangle,2.625,lqi-literal,40,40,-0.0618,0.950914,-0.68,not_significant (leo_lower)
triangle,3,hopcount,40,40,-0.1532,0.878669,-2.04,not_significant (leo_lower)
triangle,3,lqi,40,40,0.1953,0.845681,2.67,not_significant (leo_higher)
triangle,3,lqi-literal,40,40,-0.1532,0.878669,-2.04,not_significant (leo_lower)
u-shaped,2,hopcount,20,20,-1.6984,0.097841,-22.92,not_significant (leo_lower)
u-shaped,2,lqi,20,20,3.5411,0.001112,105.56,significant (leo_higher)
u-shaped,2,lqi-literal,20,20,-1.6984,0.097841,-22.92,not_significant (leo_lower)
u-shaped,2.25,hopcount,20,20,-0.7546,0.455146,-3.63,not_significant (leo_lower)
u-shaped,2.25,lqi,20,20,2.951,0.005493,15.89,significant (leo_higher)
