layout,envFactor,comparedMetric,n_leo,n_compared,t_statistic,p_value,pctDiff_leo_vs_compared,verdict_on_totalEnergyMWs
around,2,hopcount,20,20,-1.796,0.082111,-4.2,not_significant (leo_lower)
around,2,lqi,20,20,-0.2634,0.793673,-0.46,not_significant (leo_lower)
around,2,lqi-literal,20,20,-1.796,0.082111,-4.2,not_significant (leo_lower)
around,2.25,hopcount,20,20,-1.9826,0.055792,-4.21,not_significant (leo_lower)
around,2.25,lqi,20,20,0.0325,0.974249,0.05,not_significant (leo_higher)
around,2.25,lqi-literal,20,20,-1.9826,0.055792,-4.21,not_significant (leo_lower)
around,2.5,hopcount,20,20,0.1947,0.846665,0.62,not_significant (leo_higher)
around,2.5,lqi,20,20,1.2549,0.219078,3.56,not_significant (leo_higher)
around,2.5,lqi-literal,20,20,0.1947,0.846665,0.62,not_significant (leo_higher)
around,2.625,hopcount,20,20,1.0948,0.28053,3.21,not_significant (leo_higher)
around,2.625,lqi,20,20,1.8573,0.071064,5.64,not_significant (leo_higher)
around,2.625,lqi-literal,20,20,1.0948,0.28053,3.21,not_significant (leo_higher)
around,3,hopcount,20,20,2.975,0.00507,9.85,significant (leo_higher)
around,3,lqi,20,20,2.5715,0.01425,7.88,significant (leo_higher)
around,3,lqi-literal,20,20,3.0191,0.004519,9.79,significant (leo_higher)
circle,2,hopcount,20,20,-0.0673,0.946718,-0.21,not_significant (leo_lower)
circle,2,lqi,20,20,0.5059,0.615928,1.43,not_significant (leo_higher)
circle,2,lqi-literal,20,20,-0.0673,0.946718,-0.21,not_significant (leo_lower)
circle,2.25,hopcount,20,20,0.9012,0.3736,3.42,not_significant (leo_higher)
circle,2.25,lqi,20,20,0.8933,0.378402,3.17,not_significant (leo_higher)
circle,2.25,lqi-literal,20,20,0.9012,0.3736,3.42,not_significant (leo_higher)
circle,2.5,hopcount,20,20,2.4875,0.018316,9.09,significant (leo_higher)
circle,2.5,lqi,20,20,2.3975,0.022617,8.7,significant (leo_higher)
circle,2.5,lqi-literal,20,20,2.4875,0.018316,9.09,significant (leo_higher)
circle,2.625,hopcount,20,20,1.6018,0.118502,6.73,not_significant (leo_higher)
circle,2.625,lqi,20,20,1.0127,0.318052,4.29,not_significant (leo_higher)
circle,2.625,lqi-literal,20,20,1.6018,0.118502,6.73,not_significant (leo_higher)
circle,3,hopcount,20,20,-0.0812,0.935706,-0.81,not_significant (leo_lower)
circle,3,lqi,20,20,-0.8415,0.405387,-7.39,not_significant (leo_lower)
circle,3,lqi-literal,20,20,-0.0551,0.956324,-0.55,not_significant (leo_lower)
line,2,hopcount,20,20,1.0477,0.302106,5.07,not_significant (leo_higher)
line,2,lqi,20,20,1.1033,0.277833,5.26,not_significant (leo_higher)
line,2,lqi-literal,20,20,0.9464,0.350846,4.46,not_significant (leo_higher)
line,2.25,hopcount,20,20,1.5415,0.131678,6.92,not_significant (leo_higher)
line,2.25,lqi,20,20,1.6528,0.108149,6.64,not_significant (leo_higher)
line,2.25,lqi-literal,20,20,1.4471,0.156398,6.33,not_significant (leo_higher)
line,2.5,hopcount,20,20,2.2069,0.033863,9.04,significant (leo_higher)
line,2.5,lqi,20,20,2.783,0.008926,10.93,significant (leo_higher)
line,2.5,lqi-literal,20,20,2.0187,0.051231,8.1,not_significant (leo_higher)
line,2.625,hopcount,20,20,1.284,0.207477,6.78,not_significant (leo_higher)
line,2.625,lqi,20,20,0.049,0.961207,0.24,not_significant (leo_higher)
line,2.625,lqi-literal,20,20,1.3919,0.17264,7.37,not_significant (leo_higher)
line,3,hopcount,20,20,1.1431,0.260288,11.61,not_significant (leo_higher)
line,3,lqi,20,20,0.9166,0.365371,8.92,not_significant (leo_higher)
line,3,lqi-literal,20,20,1.1431,0.260288,11.61,not_significant (leo_higher)
one-side,2.25,hopcount,20,20,-1.0775,0.288915,-2.84,not_significant (leo_lower)
one-side,2.25,lqi,20,20,-0.1138,0.909986,-0.24,not_significant (leo_lower)
one-side,2.25,lqi-literal,20,20,-1.0775,0.288915,-2.84,not_significant (leo_lower)
one-side,2.5,hopcount,20,20,0.9031,0.372322,3.69,not_significant (leo_higher)
one-side,2.5,lqi,20,20,1.3435,0.188556,5.0,not_significant (leo_higher)
one-side,2.5,lqi-literal,20,20,0.9031,0.372322,3.69,not_significant (leo_higher)
one-side,2.625,hopcount,20,20,0.8425,0.40497,2.92,not_significant (leo_higher)
one-side,2.625,lqi,20,20,1.0017,0.323287,3.37,not_significant (leo_higher)
one-side,2.625,lqi-literal,20,20,0.8425,0.40497,2.92,not_significant (leo_higher)
one-side,3,hopcount,20,20,3.0259,0.004761,10.28,significant (leo_higher)
