layout,envFactor,comparedMetric,n_leo,n_compared,t_statistic,p_value,pctDiff_leo_vs_compared,verdict_on_pingTimeouts
around,2,hopcount,20,20,-1.7976,0.083322,-49.3,not_significant (leo_lower)
around,2,lqi,20,20,-0.0849,0.932775,-2.7,not_significant (leo_lower)
around,2,lqi-literal,20,20,-1.7976,0.083322,-49.3,not_significant (leo_lower)
around,2.25,hopcount,20,20,-2.374,0.024934,-47.17,significant (leo_lower)
around,2.25,lqi,20,20,-0.1546,0.87796,-3.45,not_significant (leo_lower)
around,2.25,lqi-literal,20,20,-2.374,0.024934,-47.17,significant (leo_lower)
around,2.5,hopcount,20,20,-1.4857,0.14716,-21.77,not_significant (leo_lower)
around,2.5,lqi,20,20,0.3218,0.749461,5.43,not_significant (leo_higher)
around,2.5,lqi-literal,20,20,-1.4857,0.14716,-21.77,not_significant (leo_lower)
around,2.625,hopcount,20,20,-0.9343,0.356222,-9.6,not_significant (leo_lower)
around,2.625,lqi,20,20,0.0,1.0,0.0,not_significant (leo_higher)
around,2.625,lqi-literal,20,20,-0.9343,0.356222,-9.6,not_significant (leo_lower)
around,3,hopcount,20,20,-0.424,0.67417,-2.61,not_significant (leo_lower)
around,3,lqi,20,20,0.3083,0.75978,2.05,not_significant (leo_higher)
around,3,lqi-literal,20,20,-0.2514,0.802982,-1.54,not_significant (leo_lower)
circle,2,hopcount,20,20,-0.5036,0.617685,-16.67,not_significant (leo_lower)
circle,2,lqi,20,20,1.1368,0.264357,45.83,not_significant (leo_higher)
circle,2,lqi-literal,20,20,-0.5036,0.617685,-16.67,not_significant (leo_lower)
circle,2.25,hopcount,20,20,-0.7376,0.465269,-8.93,not_significant (leo_lower)
circle,2.25,lqi,20,20,0.7041,0.485919,9.09,not_significant (leo_higher)
circle,2.25,lqi-literal,20,20,-0.7376,0.465269,-8.93,not_significant (leo_lower)
circle,2.5,hopcount,20,20,0.1623,0.871897,1.22,not_significant (leo_higher)
circle,2.5,lqi,20,20,0.6277,0.533973,5.08,not_significant (leo_higher)
circle,2.5,lqi-literal,20,20,0.1623,0.871897,1.22,not_significant (leo_higher)
circle,2.625,hopcount,20,20,-0.0306,0.975727,-0.22,not_significant (leo_lower)
circle,2.625,lqi,20,20,0.314,0.75526,2.53,not_significant (leo_higher)
circle,2.625,lqi-literal,20,20,-0.0306,0.975727,-0.22,not_significant (leo_lower)
circle,3,hopcount,20,20,-0.3313,0.74223,-4.51,not_significant (leo_lower)
circle,3,lqi,20,20,-0.2295,0.819749,-2.83,not_significant (leo_lower)
circle,3,lqi-literal,20,20,-0.3078,0.759949,-4.18,not_significant (leo_lower)
line,2,hopcount,20,20,0.5875,0.561207,8.9,not_significant (leo_higher)
line,2,lqi,20,20,0.4945,0.623992,8.16,not_significant (leo_higher)
line,2,lqi-literal,20,20,0.3652,0.717563,5.3,not_significant (leo_higher)
line,2.25,hopcount,20,20,0.0977,0.922698,0.85,not_significant (leo_higher)
line,2.25,lqi,20,20,1.2754,0.209949,9.94,not_significant (leo_higher)
line,2.25,lqi-literal,20,20,-0.3751,0.709919,-3.28,not_significant (leo_lower)
line,2.5,hopcount,20,20,0.894,0.376968,5.56,not_significant (leo_higher)
line,2.5,lqi,20,20,2.2322,0.031644,16.84,significant (leo_higher)
line,2.5,lqi-literal,20,20,0.6599,0.513346,4.05,not_significant (leo_higher)
line,2.625,hopcount,20,20,0.4615,0.647359,3.3,not_significant (leo_higher)
line,2.625,lqi,20,20,0.8474,0.402135,6.82,not_significant (leo_higher)
line,2.625,lqi-literal,20,20,0.4209,0.676439,3.01,not_significant (leo_higher)
