layout,envFactor,comparedMetric,n_leo,n_compared,t_statistic,p_value,pctDiff_leo_vs_compared,verdict_on_totalEnergyMWs
circle,2.25,hopcount,20,20,-1.5067,0.1402,-3.78,not_significant (leo_lower)
circle,2.25,lqi,20,20,0.8271,0.413362,2.06,not_significant (leo_higher)
circle,2.5,hopcount,20,20,-0.9284,0.35922,-2.73,not_significant (leo_lower)
circle,2.5,lqi,20,20,0.6398,0.526285,1.65,not_significant (leo_higher)
circle,2.625,hopcount,20,20,0.128,0.898855,0.29,not_significant (leo_higher)
circle,2.625,lqi,20,20,-2.4863,0.017761,-5.76,significant (leo_lower)
line,2,hopcount,20,20,-1.652,0.109137,-4.02,not_significant (leo_lower)
line,2,lqi,20,20,3.3824,0.001677,6.17,significant (leo_higher)
line,2.25,hopcount,20,20,-2.1,0.042421,-6.34,significant (leo_lower)
line,2.25,lqi,20,20,0.9324,0.357042,3.03,not_significant (leo_higher)
line,2.5,hopcount,20,20,-0.6877,0.495848,-2.43,not_significant (leo_lower)
line,2.5,lqi,20,20,-2.2834,0.028511,-6.88,significant (leo_lower)
line,2.625,hopcount,20,20,0.1347,0.893554,0.6,not_significant (leo_higher)
line,2.625,lqi,20,20,-2.2681,0.029105,-9.66,significant (leo_lower)
one-side,3,hopcount,20,20,-2.5872,0.013706,-5.42,significant (leo_lower)
one-side,3,lqi,20,20,-1.8502,0.075341,-3.29,not_significant (leo_lower)
triangle,2,hopcount,20,20,-0.0095,0.992488,-0.02,not_significant (leo_lower)
triangle,2,lqi,20,20,-1.2304,0.227551,-3.86,not_significant (leo_lower)
triangle,2.25,hopcount,40,40,0.0213,0.983045,0.11,not_significant (leo_higher)
triangle,2.25,lqi,40,40,2.2531,0.027472,11.88,significant (leo_higher)
triangle,2.5,hopcount,40,40,-0.5835,0.561221,-3.27,not_significant (leo_lower)
triangle,2.5,lqi,40,40,0.0182,0.985491,0.11,not_significant (leo_higher)
triangle,2.625,hopcount,40,40,-0.4676,0.641348,-2.7,not_significant (leo_lower)
triangle,2.625,lqi,40,40,-0.1795,0.858005,-1.06,not_significant (leo_lower)
triangle,3,hopcount,20,20,-0.9748,0.335857,-3.5,not_significant (leo_lower)
triangle,3,lqi,20,20,-1.8088,0.07842,-6.32,not_significant (leo_lower)
u-shaped,2,hopcount,20,20,-0.584,0.562776,-0.65,not_significant (leo_lower)
u-shaped,2,lqi,20,20,6.552,0.0,5.9,significant (leo_higher)
u-shaped,2.25,hopcount,20,20,-1.5844,0.122219,-4.34,not_significant (leo_lower)
u-shaped,2.25,lqi,20,20,1.6458,0.10806,4.05,not_significant (leo_higher)
u-shaped,2.5,hopcount,20,20,-1.166,0.25093,-4.37,not_significant (leo_lower)
u-shaped,2.5,lqi,20,20,-0.835,0.409026,-3.1,not_significant (leo_lower)
u-shaped,2.625,hopcount,20,20,0.8143,0.420682,3.08,not_significant (leo_higher)
u-shaped,2.625,lqi,20,20,-2.0854,0.044804,-8.17,significant (leo_lower)
