layout,envFactor,comparedMetric,n_leo,n_compared,t_statistic,p_value,pctDiff_leo_vs_compared,verdict_on_energy_ping
circle,2.25,hopcount,20,20,-1.4352,0.159763,-5.55,not_significant (leo_lower)
circle,2.25,lqi,20,20,-0.2121,0.833165,-0.76,not_significant (leo_lower)
circle,2.5,hopcount,20,20,-0.6631,0.511297,-2.85,not_significant (leo_lower)
circle,2.5,lqi,20,20,0.9932,0.327016,4.18,not_significant (leo_higher)
circle,2.625,hopcount,20,20,-0.125,0.901185,-0.4,not_significant (leo_lower)
circle,2.625,lqi,20,20,-1.1379,0.263141,-3.98,not_significant (leo_lower)
line,2,hopcount,20,20,-0.745,0.461291,-2.79,not_significant (leo_lower)
line,2,lqi,20,20,1.5198,0.138287,4.23,not_significant (leo_higher)
line,2.25,hopcount,20,20,-1.7319,0.091945,-8.31,not_significant (leo_lower)
line,2.25,lqi,20,20,0.9401,0.353723,5.04,not_significant (leo_higher)
line,2.5,hopcount,20,20,-0.4748,0.637774,-2.38,not_significant (leo_lower)
line,2.5,lqi,20,20,-1.2709,0.212639,-5.73,not_significant (leo_lower)
line,2.625,hopcount,20,20,0.2812,0.780135,1.63,not_significant (leo_higher)
line,2.625,lqi,20,20,-1.8431,0.073138,-9.87,not_significant (leo_lower)
one-side,3,hopcount,20,20,-3.3185,0.00201,-9.68,significant (leo_lower)
one-side,3,lqi,20,20,-2.5177,0.016476,-6.5,significant (leo_lower)
triangle,2,hopcount,20,20,-0.0408,0.967669,-0.14,not_significant (leo_lower)
triangle,2,lqi,20,20,-0.7372,0.465884,-2.95,not_significant (leo_lower)
triangle,2.25,hopcount,40,40,0.2224,0.824647,0.95,not_significant (leo_higher)
triangle,2.25,lqi,40,40,1.3141,0.193004,5.79,not_significant (leo_higher)
triangle,2.5,hopcount,40,40,-0.5802,0.563487,-2.74,not_significant (leo_lower)
triangle,2.5,lqi,40,40,0.4579,0.648323,2.26,not_significant (leo_higher)
triangle,2.625,hopcount,40,40,-0.3869,0.699909,-1.96,not_significant (leo_lower)
triangle,2.625,lqi,40,40,0.7205,0.473378,3.97,not_significant (leo_higher)
triangle,3,hopcount,20,20,-0.8458,0.403004,-3.83,not_significant (leo_lower)
triangle,3,lqi,20,20,-1.7225,0.093399,-7.14,not_significant (leo_lower)
u-shaped,2,hopcount,20,20,-0.2332,0.816847,-0.57,not_significant (leo_lower)
u-shaped,2,lqi,20,20,0.9654,0.342451,1.98,not_significant (leo_higher)
u-shaped,2.25,hopcount,20,20,-1.9554,0.059003,-7.85,not_significant (leo_lower)
u-shaped,2.25,lqi,20,20,-0.0053,0.995799,-0.02,not_significant (leo_lower)
u-shaped,2.5,hopcount,20,20,-0.732,0.468822,-4.19,not_significant (leo_lower)
u-shaped,2.5,lqi,20,20,-0.1701,0.865895,-0.97,not_significant (leo_lower)
u-shaped,2.625,hopcount,20,20,0.8013,0.428256,3.98,not_significant (leo_higher)
u-shaped,2.625,lqi,20,20,-1.5431,0.132405,-7.58,not_significant (leo_lower)
