layout,envFactor,comparedMetric,n_leo,n_compared,t_statistic,p_value,pctDiff_leo_vs_compared,verdict_on_pingTimeouts
circle,2.25,hopcount,20,20,-1.4579,0.153088,-8.53,not_significant (leo_lower)
circle,2.25,lqi,20,20,3.6711,0.000766,36.04,significant (leo_higher)
circle,2.5,hopcount,20,20,-2.0739,0.0463,-11.82,significant (leo_lower)
circle,2.5,lqi,20,20,5.0547,1.3e-05,38.57,significant (leo_higher)
circle,2.625,hopcount,20,20,-0.3432,0.733711,-2.56,not_significant (leo_lower)
circle,2.625,lqi,20,20,1.606,0.116654,10.91,not_significant (leo_higher)
line,2,hopcount,20,20,-1.5826,0.124493,-9.52,not_significant (leo_lower)
line,2,lqi,20,20,7.1486,0.0,36.94,significant (leo_higher)
line,2.25,hopcount,20,20,-1.3174,0.196829,-5.85,not_significant (leo_lower)
line,2.25,lqi,20,20,1.0023,0.322725,4.23,not_significant (leo_higher)
line,2.5,hopcount,20,20,-0.0977,0.922671,-0.45,not_significant (leo_lower)
line,2.5,lqi,20,20,1.5032,0.141243,6.28,not_significant (leo_higher)
line,2.625,hopcount,20,20,-0.1932,0.847983,-0.85,not_significant (leo_lower)
line,2.625,lqi,20,20,2.3793,0.022644,10.38,significant (leo_higher)
one-side,3,hopcount,20,20,-0.2629,0.794086,-1.83,not_significant (leo_lower)
one-side,3,lqi,20,20,-1.292,0.205257,-7.16,not_significant (leo_lower)
triangle,2,hopcount,20,20,0.3964,0.694081,4.59,not_significant (leo_higher)
triangle,2,lqi,20,20,-0.8025,0.428008,-9.52,not_significant (leo_lower)
triangle,2.25,hopcount,40,40,-0.9835,0.328424,-6.83,not_significant (leo_lower)
triangle,2.25,lqi,40,40,11.0097,0.0,294.74,significant (leo_higher)
triangle,2.5,hopcount,40,40,-0.2193,0.826959,-2.19,not_significant (leo_lower)
triangle,2.5,lqi,40,40,4.7682,9e-06,71.43,significant (leo_higher)
triangle,2.625,hopcount,40,40,-0.6664,0.507179,-8.09,not_significant (leo_lower)
triangle,2.625,lqi,40,40,1.7408,0.085667,26.77,not_significant (leo_higher)
triangle,3,hopcount,20,20,0.3256,0.746533,3.52,not_significant (leo_higher)
triangle,3,lqi,20,20,-0.358,0.722329,-3.74,not_significant (leo_lower)
u-shaped,2,hopcount,20,20,-0.0757,0.940088,-1.33,not_significant (leo_lower)
u-shaped,2,lqi,20,20,3.5236,0.001326,100.0,significant (leo_higher)
u-shaped,2.25,hopcount,20,20,-0.1707,0.865431,-0.8,not_significant (leo_lower)
u-shaped,2.25,lqi,20,20,4.2752,0.000129,20.13,significant (leo_higher)
u-shaped,2.5,hopcount,20,20,-0.8042,0.426259,-3.6,not_significant (leo_lower)
u-shaped,2.5,lqi,20,20,1.3504,0.184862,6.73,not_significant (leo_higher)
u-shaped,2.625,hopcount,20,20,-1.0164,0.316006,-4.67,not_significant (leo_lower)
u-shaped,2.625,lqi,20,20,-0.1183,0.906466,-0.57,not_significant (leo_lower)
