layout,envFactor,metric,interference,run,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
around,2,hopcount,0,0,7.55008,0,0,190,0.259687,0.256947,4.86008,0.0818969,0.640195,0.782514,0.668762
around,2,hopcount,0,1,7.74403,0,0,190,0.255303,0.255303,4.86227,0.0847365,0.72689,0.846532,0.713
around,2,hopcount,0,2,7.61325,0,0,190,0.258043,0.255851,4.86885,0.0910339,0.633617,0.835189,0.670669
around,2,hopcount,0,3,7.43584,0,0,190,0.255851,0.252015,4.86939,0.0795649,0.580136,0.782173,0.616701
around,2,hopcount,0,4,7.42922,0,0,190,0.256947,0.256947,4.85624,0.0830226,0.622491,0.745455,0.608112
around,2,hopcount,0,5,7.4944,0,0,190,0.256399,0.256947,4.87049,0.0801129,0.660483,0.734551,0.635416
around,2,hopcount,0,6,7.62772,0,0,190,0.255851,0.258043,4.85953,0.0795649,0.673277,0.842812,0.658641
around,2,hopcount,0,7,7.50418,0,0,190,0.253659,0.254207,4.87761,0.0870282,0.622491,0.782173,0.627004
around,2,hopcount,0,8,7.44303,0,0,190,0.256399,0.256399,4.86885,0.0875762,0.596975,0.758104,0.618735
around,2,hopcount,0,9,7.49608,0,0,190,0.255851,0.255303,4.8672,0.0915819,0.656512,0.73695,0.632683
around,2,hopcount,0,10,7.41919,0,0,190,0.253111,0.256947,4.86446,0.0801129,0.632344,0.718862,0.613354
around,2,hopcount,0,11,7.58313,0,0,190,0.256947,0.257495,4.87707,0.0784392,0.638544,0.784739,0.689897
around,2,hopcount,0,12,7.63276,0,0,190,0.252563,0.257495,4.86227,0.0852845,0.68791,0.798269,0.688969
around,2,hopcount,0,13,7.61423,0,0,190,0.258043,0.256399,4.86611,0.0841186,0.687248,0.80367,0.658641
around,2,hopcount,0,14,7.39457,0,0,190,0.259687,0.258591,4.86885,0.0835706,0.578788,0.742759,0.602322
around,2,hopcount,0,15,7.44767,0,0,190,0.258043,0.254755,4.88255,0.0830226,0.596975,0.759525,0.612806
around,2,hopcount,0,16,7.4704,0,0,190,0.255851,0.258043,4.86008,0.0761073,0.625458,0.764184,0.630682
around,2,hopcount,0,17,7.66389,0,0,190,0.252015,0.255851,4.86172,0.0910339,0.706838,0.797125,0.699302
around,2,hopcount,0,18,7.54276,0,0,190,0.257495,0.256399,4.86994,0.0830628,0.631271,0.762573,0.682014
around,2,hopcount,0,19,7.6232,0,0,190,0.254755,0.257495,4.86282,0.0887422,0.644605,0.825694,0.689086
around,2,lqi,0,0,7.55008,0,0,190,0.259687,0.256947,4.86008,0.0818969,0.640195,0.782514,0.668762
around,2,lqi,0,1,7.74403,0,0,190,0.255303,0.255303,4.86227,0.0847365,0.72689,0.846532,0.713
around,2,lqi,0,2,7.61325,0,0,190,0.258043,0.255851,4.86885,0.0910339,0.633617,0.835189,0.670669
around,2,lqi,0,3,7.43584,0,0,190,0.255851,0.252015,4.86939,0.0795649,0.580136,0.782173,0.616701
around,2,lqi,0,4,7.42922,0,0,190,0.256947,0.256947,4.85624,0.0830226,0.622491,0.745455,0.608112
around,2,lqi,0,5,7.4944,0,0,190,0.256399,0.256947,4.87049,0.0801129,0.660483,0.734551,0.635416
around,2,lqi,0,6,7.62772,0,0,190,0.255851,0.258043,4.85953,0.0795649,0.673277,0.842812,0.658641
