layout,envFactor,metric,interference,run,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
around,2,hopcount,0,0,10.7483,5,5,185,0.254755,0.256947,6.14262,0.191723,1.32669,1.41104,1.16449
around,2,hopcount,0,1,11.6129,12,12,178,0.256947,0.254207,7.90015,0.297018,0.869271,1.09267,0.942623
around,2,hopcount,0,2,8.65193,1,1,189,0.255303,0.255303,5.09237,0.1011,0.980931,1.05579,0.911131
around,2,hopcount,0,3,9.43133,1,1,189,0.256399,0.252015,5.09401,0.0850033,1.24019,1.40228,1.10143
around,2,hopcount,0,4,10.5875,6,6,184,0.253659,0.254207,6.38532,0.179739,1.30387,1.19229,1.01836
around,2,hopcount,0,5,8.86924,1,1,189,0.256947,0.252563,5.08963,0.0801129,1.05958,1.17441,0.955993
around,2,hopcount,0,6,9.91129,0,0,190,0.255851,0.252563,4.85789,0.0869886,1.50588,1.59211,1.36001
around,2,hopcount,0,7,10.3631,5,5,185,0.251467,0.252563,6.12892,0.184568,1.18518,1.27446,1.08598
around,2,hopcount,0,8,9.65191,0,0,190,0.252015,0.256399,4.8409,0.0801129,1.40641,1.53428,1.2818
around,2,hopcount,0,9,9.96213,5,5,185,0.254207,0.254207,6.13714,0.176248,0.977948,1.13375,1.02862
around,2,hopcount,0,10,11.115,11,18,172,0.256399,0.254207,7.67061,0.283305,0.868143,0.970316,0.811979
around,2,hopcount,0,11,8.98087,0,0,190,0.255303,0.256399,4.86939,0.0861966,1.12367,1.32674,1.06317
around,2,hopcount,0,12,10.2529,6,6,184,0.253659,0.255303,6.40615,0.188265,1.01486,1.17918,0.955475
around,2,hopcount,0,13,11.3153,10,10,180,0.258043,0.256399,7.3901,0.289672,0.990977,1.10028,1.02979
around,2,hopcount,0,14,9.09955,0,0,190,0.255851,0.254207,4.85131,0.100959,1.18336,1.30501,1.14884
around,2,hopcount,0,15,9.61151,2,2,188,0.254755,0.254755,5.34054,0.113343,1.2583,1.26596,1.12385
around,2,hopcount,0,16,8.99913,0,0,190,0.253111,0.255851,4.86501,0.0801129,1.21591,1.27332,1.05581
around,2,hopcount,0,17,9.8016,5,6,184,0.255303,0.256399,6.14975,0.153235,0.972083,1.08725,0.92759
