layout,envFactor,metric,interference,run,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
around,2,hopcount,0,0,7.76477,0,0,190,0.259139,0.257495,4.87323,0.0876165,0.654251,0.887953,0.745086
around,2,hopcount,0,1,7.68413,0,0,190,0.257495,0.257495,4.87378,0.0824449,0.681471,0.817426,0.71402
around,2,hopcount,0,2,7.41027,0,0,190,0.254207,0.260235,4.87871,0.0761073,0.584697,0.747147,0.609168
around,2,hopcount,0,3,7.50432,0,0,190,0.255851,0.255303,4.86665,0.0795649,0.622762,0.790777,0.633412
around,2,hopcount,0,4,7.50496,0,0,190,0.251467,0.258043,4.87213,0.0852845,0.647132,0.738083,0.652821
around,2,hopcount,0,5,7.5504,0,0,190,0.259687,0.259139,4.8683,0.0772732,0.599413,0.819052,0.667536
around,2,hopcount,0,6,7.52072,0,0,190,0.255851,0.259687,4.87323,0.0841186,0.64541,0.76166,0.640765
around,2,hopcount,0,7,7.85679,0,0,190,0.258043,0.257495,4.86939,0.0899081,0.758493,0.81581,0.807649
around,2,hopcount,0,8,7.38755,0,0,190,0.258043,0.252015,4.86172,0.0801129,0.59151,0.734181,0.609966
around,2,hopcount,0,9,7.45122,0,0,190,0.256399,0.254207,4.88364,0.0835706,0.598495,0.761118,0.613791
around,2,hopcount,0,10,7.55641,0,0,190,0.259687,0.256947,4.86665,0.0812789,0.622881,0.799683,0.669277
around,2,hopcount,0,11,7.54348,0,0,190,0.255851,0.255851,4.85789,0.0847365,0.627921,0.793399,0.667839
around,2,hopcount,0,12,7.70777,0,0,190,0.256947,0.257495,4.86885,0.0818969,0.66054,0.861402,0.720642
around,2,hopcount,0,13,7.35302,0,0,190,0.257495,0.254755,4.85679,0.0761073,0.573151,0.732833,0.601885
around,2,hopcount,0,14,7.48531,0,0,190,0.254755,0.259687,4.86391,0.0841885,0.658041,0.721151,0.643574
around,2,hopcount,0,15,7.42159,0,0,190,0.258043,0.255851,4.87323,0.0761073,0.59607,0.748495,0.613791
around,2,hopcount,0,16,7.42894,0,0,190,0.254755,0.256947,4.85515,0.0835706,0.597147,0.761217,0.620159
around,2,hopcount,0,17,7.4026,0,0,190,0.258591,0.253659,4.87926,0.0875762,0.616854,0.698984,0.607674
