comparator,endpoint,relayCap,envFactor,n_cells,effect_pct,p_exact
hopcount,totalEnergyMWs,1,2,6,-3.082,0.125
hopcount,totalEnergyMWs,1,2.25,6,-4.011,0.125
hopcount,totalEnergyMWs,1,2.5,6,-13.939,0.0625
hopcount,totalEnergyMWs,1,2.625,6,-1.171,0.0625
hopcount,totalEnergyMWs,1,3,6,-1.868,0.3125
hopcount,totalEnergyMWs,2,2,6,1.115,0.5
hopcount,totalEnergyMWs,2,2.25,6,2.541,0.6875
hopcount,totalEnergyMWs,2,2.5,6,-10.946,0.0625
hopcount,totalEnergyMWs,2,2.625,6,3.4,0.0625
hopcount,totalEnergyMWs,2,3,6,3.609,0.25
hopcount,totalEnergyMWs,3,2,6,2.402,0.5
hopcount,totalEnergyMWs,3,2.25,6,5.379,0.0625
hopcount,totalEnergyMWs,3,2.5,6,-7.549,0.125
hopcount,totalEnergyMWs,3,2.625,6,4.877,0.0625
hopcount,totalEnergyMWs,3,3,6,4.99,0.21875
hopcount,pingTimeouts,1,2,6,-13.865,0.375
hopcount,pingTimeouts,1,2.25,6,-12.884,0.125
hopcount,pingTimeouts,1,2.5,6,-38.008,0.125
hopcount,pingTimeouts,1,2.625,6,-5.553,0.1875
hopcount,pingTimeouts,1,3,6,-14.123,0.5
hopcount,pingTimeouts,2,2,6,-11.872,0.5
hopcount,pingTimeouts,2,2.25,6,-15.461,0.125
hopcount,pingTimeouts,2,2.5,6,-42.759,0.0625
hopcount,pingTimeouts,2,2.625,6,-8.137,0.0625
hopcount,pingTimeouts,2,3,6,-16.226,0.125
hopcount,pingTimeouts,3,2,6,-12.998,0.125
hopcount,pingTimeouts,3,2.25,6,-16.874,0.125
hopcount,pingTimeouts,3,2.5,6,-41.874,0.0625
hopcount,pingTimeouts,3,2.625,6,-8.562,0.125
hopcount,pingTimeouts,3,3,6,-17.909,0.125
lqi,totalEnergyMWs,1,2,6,18.896,0.125
lqi,totalEnergyMWs,1,2.25,6,13.474,0.0625
lqi,totalEnergyMWs,1,2.5,6,-2.704,0.75
lqi,totalEnergyMWs,1,2.625,6,9.451,0.03125
lqi,totalEnergyMWs,1,3,6,-0.166,0.90625
lqi,totalEnergyMWs,2,2,6,24.046,0.125
lqi,totalEnergyMWs,2,2.25,6,21.221,0.0625
lqi,totalEnergyMWs,2,2.5,6,0.68,0.90625
lqi,totalEnergyMWs,2,2.625,6,14.514,0.03125
lqi,totalEnergyMWs,2,3,6,5.406,0.03125
lqi,totalEnergyMWs,3,2,6,25.624,0.125
lqi,totalEnergyMWs,3,2.25,6,24.576,0.0625
lqi,totalEnergyMWs,3,2.5,6,4.52,0.28125
lqi,totalEnergyMWs,3,2.625,6,16.15,0.03125
lqi,totalEnergyMWs,3,3,6,6.811,0.03125
lqi,pingTimeouts,1,2,6,60.582,0.125
lqi,pingTimeouts,1,2.25,6,22.287,0.25
lqi,pingTimeouts,1,2.5,6,-22.332,0.5
lqi,pingTimeouts,1,2.625,6,-8.036,0.25
lqi,pingTimeouts,1,3,6,-8.044,0.375
lqi,pingTimeouts,2,2,6,64.297,0.125
lqi,pingTimeouts,2,2.25,6,18.67,0.375
lqi,pingTimeouts,2,2.5,6,-28.284,0.375
lqi,pingTimeouts,2,2.625,6,-10.552,0.25
lqi,pingTimeouts,2,3,6,-10.296,0.25
lqi,pingTimeouts,3,2,6,62.197,0.125
lqi,pingTimeouts,3,2.25,6,16.686,0.375
lqi,pingTimeouts,3,2.5,6,-27.176,0.375
lqi,pingTimeouts,3,2.625,6,-10.965,0.25
lqi,pingTimeouts,3,3,6,-12.098,0.28125
