experimentId,scenarioSet,scenarioId,manifestSha256,layout,envFactor,metric,interference,relayCap,run,seedBase,ns3Run,nNodes,spacingM,signalLossPerMDbm,backgroundNoiseDbm,interferenceDb,mobility,mobilityBoxFrac,mobilitySpeedMin,mobilitySpeedMax,mobilityPauseMin,mobilityPauseMax,mobilityWarmupS,emaAlpha,discoveryWindowS,discoveryTimeoutS,macMaxRetries,ackTimeoutS,bitrateBps,radioOverheadS,useNrf52840Energy,hfxoCrystal,boundEq17ToRMax,pingPayloadBytes,atpcMode,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,0,42,1,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,54.4767,9,76,114,0.309688,0.309688,19.6896,0.606279,2.24012,2.24068,29.0806
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,1,42,2,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,53.3443,11,79,111,0.309688,0.309688,20.3253,0.53825,2.03838,2.28384,27.5392
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,2,42,3,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,54.0129,13,72,118,0.309688,0.309688,18.9725,0.707715,2.21615,2.20877,29.2884
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,3,42,4,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,58.6139,13,78,112,0.309688,0.309688,20.3742,0.633269,2.202,2.46158,32.3235
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,4,42,5,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,68.0429,17,79,111,0.309688,0.309688,20.472,0.886975,2.37287,2.39315,41.2985
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,5,42,6,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,65.9086,17,83,107,0.309688,0.309688,21.2707,0.926663,2.34101,2.12008,38.6308
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,6,42,7,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,58.91,17,81,109,0.309688,0.309688,20.4557,0.77449,2.12607,2.16219,32.7722
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,7,42,8,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,54.6527,10,72,118,0.309688,0.309688,19.1029,0.625317,2.27209,2.28033,29.7527
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,8,42,9,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,64.9629,21,86,104,0.309688,0.309688,22.1508,0.924462,2.17196,1.90011,37.1962
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,9,42,10,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,54.4263,11,79,111,0.309688,0.309688,20.3579,0.65806,2.15986,2.19179,28.4393
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,10,42,11,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,59.0404,14,78,112,0.309688,0.309688,20.0971,0.679963,2.17942,2.42221,33.0423
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,11,42,12,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,63.5715,12,90,100,0.309688,0.309688,22.6072,0.797155,2.00495,2.15414,35.3886
