experimentId,scenarioSet,scenarioId,manifestSha256,layout,envFactor,metric,interference,relayCap,run,seedBase,ns3Run,nNodes,spacingM,signalLossPerMDbm,backgroundNoiseDbm,interferenceDb,mobility,mobilityBoxFrac,mobilitySpeedMin,mobilitySpeedMax,mobilityPauseMin,mobilityPauseMax,mobilityWarmupS,emaAlpha,discoveryWindowS,discoveryTimeoutS,macMaxRetries,ackTimeoutS,bitrateBps,radioOverheadS,useNrf52840Energy,hfxoCrystal,boundEq17ToRMax,pingPayloadBytes,atpcMode,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,0,42,1,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,58.8016,13,72,118,0.309688,0.309688,18.6465,0.754997,2.38068,2.34135,34.0587
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,1,42,2,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,50.9649,13,76,114,0.309688,0.309688,19.494,0.538422,2.27139,2.11434,25.9273
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,2,42,3,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,50.7475,8,68,122,0.309688,0.309688,18.076,0.560078,2.29238,2.31582,26.8839
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,3,42,4,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,44.7925,5,69,121,0.309688,0.309688,18.1901,0.436224,2.13573,2.27589,21.1352
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,4,42,5,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,53.8999,6,63,127,0.309688,0.309688,17.0002,0.538877,2.5258,2.82857,30.3871
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,5,42,6,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,50.02,5,68,122,0.309688,0.309688,17.6522,0.490475,2.40317,2.42419,26.4306
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,6,42,7,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,53.0869,10,74,116,0.309688,0.309688,19.0866,0.612769,2.09446,2.42369,28.25
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,7,42,8,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,58.67,14,73,117,0.309688,0.309688,18.9236,0.714659,2.2746,2.35352,33.7843
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,8,42,9,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,56.1626,9,71,119,0.309688,0.309688,19.1844,0.625317,2.37724,2.44517,30.9112
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,ackTimeoutS__0p1__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,9,42,10,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.1,1e+06,0.0001,0,none,0,100,with-feedback,52.3704,10,70,120,0.309688,0.309688,18.3368,0.607988,2.31664,2.37466,28.115
