experimentId,scenarioSet,scenarioId,manifestSha256,layout,envFactor,metric,interference,relayCap,run,seedBase,ns3Run,nNodes,spacingM,signalLossPerMDbm,backgroundNoiseDbm,interferenceDb,mobility,mobilityBoxFrac,mobilitySpeedMin,mobilitySpeedMax,mobilityPauseMin,mobilityPauseMax,mobilityWarmupS,emaAlpha,discoveryWindowS,discoveryTimeoutS,macMaxRetries,ackTimeoutS,bitrateBps,radioOverheadS,useNrf52840Energy,hfxoCrystal,boundEq17ToRMax,pingPayloadBytes,atpcMode,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m113p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,0,42,1,20,15,-64,-113,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,44.3339,13,83,107,0.309688,0.309688,19.6244,0.60725,2.9086,2.63256,17.9417
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m113p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,1,42,2,20,15,-64,-113,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,49.4722,17,93,97,0.309688,0.309688,21.45,0.932058,2.5989,2.57265,21.2992
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m113p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,2,42,3,20,15,-64,-113,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,44.6822,6,78,112,0.309688,0.309688,18.728,0.546054,2.78407,3.20183,18.8029
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m113p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,3,42,4,20,15,-64,-113,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,53.2381,18,91,99,0.309688,0.309688,21.2544,1.03091,2.72045,2.63013,24.9828
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m113p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,4,42,5,20,15,-64,-113,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,42.8525,13,86,104,0.309688,0.309688,20.2438,0.663739,2.49935,2.27582,16.5504
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m113p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,5,42,6,20,15,-64,-113,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,43.8076,13,87,103,0.309688,0.309688,20.2764,0.640202,2.52189,2.61873,17.131
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m113p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,6,42,7,20,15,-64,-113,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,49.0395,16,85,105,0.309688,0.309688,20.3253,0.71552,2.85123,2.76407,21.764
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m113p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,7,42,8,20,15,-64,-113,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,44.6611,17,90,100,0.309688,0.309688,20.9773,0.790837,2.33175,2.32731,17.6145
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m113p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,8,42,9,20,15,-64,-113,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,49.9514,17,89,101,0.309688,0.309688,20.9447,0.852033,2.48952,2.61244,22.4333
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m113p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,9,42,10,20,15,-64,-113,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,47.0373,16,88,102,0.309688,0.309688,20.4883,0.790837,2.52517,2.60203,20.0116
