experimentId,scenarioSet,scenarioId,manifestSha256,layout,envFactor,metric,interference,relayCap,run,seedBase,ns3Run,nNodes,spacingM,signalLossPerMDbm,backgroundNoiseDbm,interferenceDb,mobility,mobilityBoxFrac,mobilitySpeedMin,mobilitySpeedMax,mobilityPauseMin,mobilityPauseMax,mobilityWarmupS,emaAlpha,discoveryWindowS,discoveryTimeoutS,macMaxRetries,ackTimeoutS,bitrateBps,radioOverheadS,useNrf52840Energy,hfxoCrystal,boundEq17ToRMax,pingPayloadBytes,atpcMode,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m119p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,0,42,1,20,15,-64,-119,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,53.1615,15,60,130,0.309688,0.309688,17.8967,1.20006,2.78829,2.86284,27.7943
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m119p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,1,42,2,20,15,-64,-119,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,47.9411,17,63,127,0.309688,0.309688,19.1681,0.703372,2.43953,2.90915,22.1016
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m119p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,2,42,3,20,15,-64,-119,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,49.8655,16,71,119,0.309688,0.309688,21.2707,0.869496,2.38831,2.50515,22.2125
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m119p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,3,42,4,20,15,-64,-119,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,45.4777,12,59,131,0.309688,0.309688,18.0434,0.751961,2.56307,2.65654,20.8433
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m119p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,4,42,5,20,15,-64,-119,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,45.3304,12,57,133,0.309688,0.309688,17.6848,0.693027,2.47583,2.83531,21.0221
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m119p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,5,42,6,20,15,-64,-119,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,47.8999,16,68,122,0.309688,0.309688,20.3905,0.911863,2.17442,2.48462,21.3191
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m119p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,6,42,7,20,15,-64,-119,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,46.6119,19,62,128,0.309688,0.309688,19.1355,0.840884,2.27008,2.62492,21.1212
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m119p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,7,42,8,20,15,-64,-119,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,48.2249,18,63,127,0.309688,0.309688,19.217,0.806566,2.40909,2.75002,22.4229
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m119p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,8,42,9,20,15,-64,-119,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,50.8714,18,69,121,0.309688,0.309688,20.7654,0.989821,2.36635,2.69908,23.4313
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,backgroundNoiseDbm__m119p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,9,42,10,20,15,-64,-119,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,49.2547,15,68,122,0.309688,0.309688,19.4777,0.87906,2.41671,2.63576,23.226
