experimentId,scenarioSet,scenarioId,manifestSha256,layout,envFactor,metric,interference,relayCap,run,seedBase,ns3Run,nNodes,spacingM,signalLossPerMDbm,backgroundNoiseDbm,interferenceDb,mobility,mobilityBoxFrac,mobilitySpeedMin,mobilitySpeedMax,mobilityPauseMin,mobilityPauseMax,mobilityWarmupS,emaAlpha,discoveryWindowS,discoveryTimeoutS,macMaxRetries,ackTimeoutS,bitrateBps,radioOverheadS,useNrf52840Energy,hfxoCrystal,boundEq17ToRMax,pingPayloadBytes,atpcMode,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,0,42,1,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,28.4903,7,78,112,0.309688,0.309688,11.9474,0.405743,2.00143,2.19349,11.3228
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,1,42,2,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,36.9505,15,83,107,0.309688,0.309688,13.7404,0.748618,2.11326,2.05766,17.6712
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,2,42,3,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,33.0152,11,76,114,0.309688,0.309688,12.6646,0.622147,2.13124,2.19407,14.7838
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,3,42,4,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,36.34,15,81,109,0.309688,0.309688,13.6426,0.61256,1.95597,2.52039,16.9892
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,4,42,5,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,37.8452,13,79,111,0.309688,0.309688,13.6915,0.738995,2.22256,2.31732,18.2554
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,5,42,6,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,38.4153,17,86,104,0.309688,0.309688,14.4086,0.800571,2.15239,2.00723,18.4271
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,6,42,7,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,37.7672,18,80,110,0.309688,0.309688,13.8871,0.808106,2.15788,2.15547,18.1393
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,7,42,8,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,31.8804,6,77,113,0.309688,0.309688,12.3875,0.507633,2.04025,2.28646,14.0392
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,8,42,9,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,32.3509,16,88,102,0.309688,0.309688,14.5064,0.729752,1.78294,1.57297,13.1394
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,9,42,10,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,34.6404,11,86,104,0.309688,0.309688,13.447,0.648154,2.07624,2.20987,15.6398
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,10,42,11,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,40.8873,20,80,110,0.309688,0.309688,14.4901,0.795275,2.34636,2.2871,20.3491
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,11,42,12,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,33.5176,12,86,104,0.309688,0.309688,13.1862,0.568657,1.96767,2.16751,15.0082
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,12,42,13,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,37.197,19,81,109,0.309688,0.309688,13.8545,0.719502,2.09398,2.21788,17.6918
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,13,42,14,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,33.2156,9,83,107,0.309688,0.309688,13.121,0.605824,2.00708,2.10047,14.7619
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,14,42,15,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,39.4347,15,86,104,0.309688,0.309688,14.0338,0.78774,2.00904,2.42841,19.5564
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,15,42,16,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,36.2746,11,89,101,0.309688,0.309688,14.2945,0.703671,1.99953,2.08882,16.5687
