experimentId,scenarioSet,scenarioId,manifestSha256,layout,envFactor,metric,interference,relayCap,run,seedBase,ns3Run,nNodes,spacingM,signalLossPerMDbm,backgroundNoiseDbm,interferenceDb,mobility,mobilityBoxFrac,mobilitySpeedMin,mobilitySpeedMax,mobilityPauseMin,mobilityPauseMax,mobilityWarmupS,emaAlpha,discoveryWindowS,discoveryTimeoutS,macMaxRetries,ackTimeoutS,bitrateBps,radioOverheadS,useNrf52840Energy,hfxoCrystal,boundEq17ToRMax,pingPayloadBytes,atpcMode,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,0,42,1,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,32.4227,11,80,110,0.309688,0.309688,12.5668,0.616603,2.01902,2.15579,14.4451
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,1,42,2,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,30.6337,8,77,113,0.309688,0.309688,12.1756,0.440231,2.03394,2.33993,13.0246
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,2,42,3,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,33.8031,11,69,121,0.309688,0.309688,11.7844,0.534206,2.3861,2.40876,16.0702
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,3,42,4,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,28.0689,3,66,124,0.309688,0.309688,10.5946,0.298838,2.1464,2.61896,11.7907
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,4,42,5,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,32.5213,5,71,119,0.309688,0.309688,11.5074,0.381198,2.4051,2.6898,14.9185
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,5,42,6,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,30.8063,3,69,121,0.309688,0.309688,10.8391,0.353962,2.40649,2.53942,14.0479
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,6,42,7,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,34.0718,11,69,121,0.309688,0.309688,11.9637,0.625182,2.28944,2.3467,16.2274
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,7,42,8,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,33.2576,13,80,110,0.309688,0.309688,12.9743,0.595439,2.0003,2.31115,14.7571
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,8,42,9,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,30.1572,7,70,120,0.309688,0.309688,11.654,0.479389,2.20343,2.24509,12.9559
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,9,42,10,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,34.9988,12,76,114,0.309688,0.309688,12.3549,0.599372,2.27503,2.48529,16.6648
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,10,42,11,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,30.775,9,70,120,0.309688,0.309688,11.5725,0.465759,2.23905,2.30218,13.5761
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,11,42,12,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,31.4724,6,77,113,0.309688,0.309688,12.0778,0.439358,2.11525,2.35268,13.8679
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,12,42,13,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,31.2118,10,79,111,0.309688,0.309688,12.7787,0.484932,2.00784,2.16892,13.152
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,13,42,14,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,31.4925,10,70,120,0.309688,0.309688,11.8007,0.465095,2.21564,2.34333,14.0483
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,14,42,15,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,31.6328,10,73,117,0.309688,0.309688,11.8496,0.440022,2.30146,2.31218,14.1101
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,15,42,16,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,32.6286,10,78,112,0.309688,0.309688,12.9906,0.570746,2.1659,2.19777,14.0842
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,16,42,17,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,33.1796,10,73,117,0.309688,0.309688,12.2408,0.547836,2.12844,2.38336,15.2598
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,17,42,18,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,34.9194,11,73,117,0.309688,0.309688,12.143,0.590903,2.196,2.64644,16.7237
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,18,42,19,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,29.6305,10,78,112,0.309688,0.309688,12.3223,0.510706,1.95626,2.01955,12.2023
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryTimeoutS__2p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,19,42,20,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,2,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,31.6228,10,76,114,0.309688,0.309688,12.4038,0.584659,2.03394,2.16644,13.8146
