experimentId,scenarioSet,scenarioId,manifestSha256,layout,envFactor,metric,interference,relayCap,run,seedBase,ns3Run,nNodes,spacingM,signalLossPerMDbm,backgroundNoiseDbm,interferenceDb,mobility,mobilityBoxFrac,mobilitySpeedMin,mobilitySpeedMax,mobilityPauseMin,mobilityPauseMax,mobilityWarmupS,emaAlpha,discoveryWindowS,discoveryTimeoutS,macMaxRetries,ackTimeoutS,bitrateBps,radioOverheadS,useNrf52840Energy,hfxoCrystal,boundEq17ToRMax,pingPayloadBytes,atpcMode,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,0,42,1,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,47.4563,20,83,107,0.309688,0.309688,21.2707,0.952535,2.14206,2.08801,20.3836
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,1,42,2,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,47.1434,24,88,102,0.309688,0.309688,22.1182,0.855597,2.06784,1.88084,19.6015
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,2,42,3,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,45.5307,13,84,106,0.309688,0.309688,20.961,0.776199,2.19732,2.18714,18.7897
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,3,42,4,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,47.7639,22,84,106,0.309688,0.309688,21.6619,0.930841,2.09126,2.0488,20.4117
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,4,42,5,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,49.4128,20,87,103,0.309688,0.309688,22.3138,1.10317,2.19699,1.96204,21.2174
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,5,42,6,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,51.1478,21,85,105,0.309688,0.309688,21.1729,1.06485,2.34923,2.02747,23.914
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,6,42,7,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,43.9312,17,85,105,0.309688,0.309688,20.9773,0.739204,2.05557,2.09973,17.4401
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,7,42,8,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,42.867,17,88,102,0.309688,0.309688,22.053,0.800363,1.87085,1.77023,15.7532
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,8,42,9,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,45.6361,16,83,107,0.309688,0.309688,20.9121,1.01453,2.10406,1.9482,19.0378
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,9,42,10,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,45.078,18,83,107,0.309688,0.309688,21.0425,0.874881,2.10787,1.98596,18.4474
