experimentId,scenarioSet,scenarioId,manifestSha256,layout,envFactor,metric,interference,relayCap,run,seedBase,ns3Run,nNodes,spacingM,signalLossPerMDbm,backgroundNoiseDbm,interferenceDb,mobility,mobilityBoxFrac,mobilitySpeedMin,mobilitySpeedMax,mobilityPauseMin,mobilityPauseMax,mobilityWarmupS,emaAlpha,discoveryWindowS,discoveryTimeoutS,macMaxRetries,ackTimeoutS,bitrateBps,radioOverheadS,useNrf52840Energy,hfxoCrystal,boundEq17ToRMax,pingPayloadBytes,atpcMode,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,0,42,1,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,42.1562,11,74,116,0.309688,0.309688,19.0051,0.566285,2.29309,2.71298,16.9594
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,1,42,2,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,41.0484,11,73,117,0.309688,0.309688,19.2007,0.715495,2.20974,2.1746,16.1285
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,2,42,3,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,43.6836,14,78,112,0.309688,0.309688,19.9178,0.838894,2.13508,2.19285,17.9796
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,3,42,4,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,37.6114,6,72,118,0.309688,0.309688,18.5487,0.526291,2.13116,2.1683,13.6176
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,4,42,5,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,41.2157,8,69,121,0.309688,0.309688,18.0923,0.430816,2.39368,2.88717,16.7924
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,5,42,6,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,36.6422,5,67,123,0.309688,0.309688,17.8478,0.379699,2.24713,2.56177,12.9864
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,6,42,7,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,35.313,5,67,123,0.309688,0.309688,17.7826,0.376491,2.2609,2.3238,11.9498
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,7,42,8,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,37.6722,4,74,116,0.309688,0.309688,19.0214,0.514541,2.09505,2.29506,13.1268
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,8,42,9,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,38.8722,5,74,116,0.309688,0.309688,18.8747,0.466275,2.18018,2.50361,14.2281
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,9,42,10,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,39.5141,12,74,116,0.309688,0.309688,19.0051,0.619811,2.10386,2.21235,14.9537
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,10,42,11,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,39.9153,8,77,113,0.309688,0.309688,20.2438,0.586159,2.094,2.18047,14.1914
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,11,42,12,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,42.3771,12,74,116,0.309688,0.309688,19.4125,0.634769,2.19585,2.51138,17.0032
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,12,42,13,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,38.9258,9,69,121,0.309688,0.309688,17.9619,0.510841,2.26708,2.34105,15.2255
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,13,42,14,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,36.0777,5,68,122,0.309688,0.309688,17.75,0.450481,2.16561,2.39356,12.6987
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,14,42,15,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,43.6116,14,72,118,0.309688,0.309688,18.6954,0.648854,2.41098,2.56002,18.677
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,15,42,16,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,39.5114,8,77,113,0.309688,0.309688,19.7222,0.575036,2.21168,2.12015,14.2629
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,16,42,17,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,43.6068,15,75,115,0.309688,0.309688,19.2821,0.651226,2.28045,2.62038,18.1532
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,17,42,18,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,38.808,9,73,117,0.309688,0.309688,19.054,0.482388,2.13897,2.3806,14.1327
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,18,42,19,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,38.1201,10,72,118,0.309688,0.309688,18.3694,0.590658,2.11107,2.27394,14.1557
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p05__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,19,42,20,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.05,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,40.1149,8,70,120,0.309688,0.309688,18.3857,0.611195,2.25259,2.3824,15.8636
