experimentId,scenarioSet,scenarioId,manifestSha256,layout,envFactor,metric,interference,relayCap,run,seedBase,ns3Run,nNodes,spacingM,signalLossPerMDbm,backgroundNoiseDbm,interferenceDb,mobility,mobilityBoxFrac,mobilitySpeedMin,mobilitySpeedMax,mobilityPauseMin,mobilityPauseMax,mobilityWarmupS,emaAlpha,discoveryWindowS,discoveryTimeoutS,macMaxRetries,ackTimeoutS,bitrateBps,radioOverheadS,useNrf52840Energy,hfxoCrystal,boundEq17ToRMax,pingPayloadBytes,atpcMode,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p3__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,0,42,1,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.3,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,38.8073,10,74,116,0.309688,0.309688,18.9562,0.504426,2.16112,2.36258,14.2036
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p3__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,1,42,2,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.3,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,45.3968,16,79,111,0.309688,0.309688,20.4883,0.830352,2.16932,2.25509,19.0344
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p3__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,2,42,3,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.3,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,44.8781,15,73,117,0.309688,0.309688,19.2821,0.680343,2.24574,2.67978,19.3707
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p3__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,3,42,4,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.3,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,42.0276,11,77,113,0.309688,0.309688,19.7385,0.66364,2.0347,2.48317,16.4882
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p3__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,4,42,5,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.3,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,46.2307,15,82,108,0.309688,0.309688,21.0262,0.890048,2.15183,2.19527,19.348
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p3__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,5,42,6,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.3,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,48.8055,19,92,98,0.309688,0.309688,22.7376,0.937785,2.08418,1.95228,20.4742
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p3__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,6,42,7,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.3,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,43.0797,18,81,109,0.309688,0.309688,20.6513,0.752109,2.14949,2.02169,16.8857
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p3__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,7,42,8,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.3,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,50.9324,19,92,98,0.309688,0.309688,22.9658,1.13379,2.08481,2.00252,22.1261
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p3__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,8,42,9,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.3,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,42.1992,13,71,119,0.309688,0.309688,18.8584,0.669011,2.42534,2.44024,17.1868
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,discoveryWindowS__0p3__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,9,42,10,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.3,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,44.284,13,82,108,0.309688,0.309688,20.5046,0.720301,2.10309,2.36419,17.9724
