experimentId,scenarioSet,scenarioId,manifestSha256,layout,envFactor,metric,interference,relayCap,run,seedBase,ns3Run,nNodes,spacingM,signalLossPerMDbm,backgroundNoiseDbm,interferenceDb,mobility,mobilityBoxFrac,mobilitySpeedMin,mobilitySpeedMax,mobilityPauseMin,mobilityPauseMax,mobilityWarmupS,emaAlpha,discoveryWindowS,discoveryTimeoutS,macMaxRetries,ackTimeoutS,bitrateBps,radioOverheadS,useNrf52840Energy,hfxoCrystal,boundEq17ToRMax,pingPayloadBytes,atpcMode,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,0,42,1,20,15,-64,-116,25,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,38.5388,15,86,104,0.309688,0.309688,20.635,0.626817,1.8256,1.90137,12.9306
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,1,42,2,20,15,-64,-116,25,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,38.9764,13,87,103,0.309688,0.309688,20.8469,0.512549,1.77244,1.96809,13.257
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,2,42,3,20,15,-64,-116,25,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,40.0506,13,85,105,0.309688,0.309688,20.3742,0.606697,2.04516,1.87413,14.531
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,3,42,4,20,15,-64,-116,25,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,40.9517,15,88,102,0.309688,0.309688,20.8143,0.679299,1.77213,1.8555,15.2111
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,4,42,5,20,15,-64,-116,25,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,41.9088,10,87,103,0.309688,0.309688,20.8143,0.651018,2.00927,2.12965,15.6852
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,5,42,6,20,15,-64,-116,25,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,41.1772,9,86,104,0.309688,0.309688,20.4557,0.473145,1.97909,2.38099,15.2689
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,6,42,7,20,15,-64,-116,25,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,41.8083,15,90,100,0.309688,0.309688,21.3033,0.768112,1.91344,1.70097,15.5031
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,7,42,8,20,15,-64,-116,25,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,37.8741,10,82,108,0.309688,0.309688,19.6244,0.481134,1.83424,2.15779,13.1571
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,8,42,9,20,15,-64,-116,25,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,37.0573,10,85,105,0.309688,0.309688,20.2438,0.498882,1.84206,1.99173,11.8615
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,9,42,10,20,15,-64,-116,25,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,36.6437,8,81,109,0.309688,0.309688,19.657,0.41973,1.90166,2.15509,11.8908
