experimentId,scenarioSet,scenarioId,manifestSha256,layout,envFactor,metric,interference,relayCap,run,seedBase,ns3Run,nNodes,spacingM,signalLossPerMDbm,backgroundNoiseDbm,interferenceDb,mobility,mobilityBoxFrac,mobilitySpeedMin,mobilitySpeedMax,mobilityPauseMin,mobilityPauseMax,mobilityWarmupS,emaAlpha,discoveryWindowS,discoveryTimeoutS,macMaxRetries,ackTimeoutS,bitrateBps,radioOverheadS,useNrf52840Energy,hfxoCrystal,boundEq17ToRMax,pingPayloadBytes,atpcMode,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__5p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,0,42,1,20,15,-64,-116,5,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,58.143,19,36,154,0.309688,0.309688,16.9513,1.486,3.59343,3.61798,31.8749
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__5p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,1,42,2,20,15,-64,-116,5,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,67.8703,38,50,140,0.309688,0.309688,22.8028,1.93349,3.26182,2.98594,36.2669
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__5p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,2,42,3,20,15,-64,-116,5,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,63.724,29,37,153,0.309688,0.309688,18.2553,1.6001,3.53872,3.83429,35.8763
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__5p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,3,42,4,20,15,-64,-116,5,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,64.2572,30,44,146,0.309688,0.309688,20.0482,1.80861,3.32799,3.16861,35.2844
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__5p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,4,42,5,20,15,-64,-116,5,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,68.4843,33,47,143,0.309688,0.309688,21.5804,1.84854,3.41094,3.39359,37.6315
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__5p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,5,42,6,20,15,-64,-116,5,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,61.5662,30,42,148,0.309688,0.309688,19.1518,1.61565,3.44964,3.33098,33.3988
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__5p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,6,42,7,20,15,-64,-116,5,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,58.3669,22,37,153,0.309688,0.309688,17.3099,1.40148,3.44131,3.63927,31.9555
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__5p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,7,42,8,20,15,-64,-116,5,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,60.4391,29,43,147,0.309688,0.309688,19.4451,1.70941,3.17276,3.14199,32.3504
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__5p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,8,42,9,20,15,-64,-116,5,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,56.8979,26,36,154,0.309688,0.309688,17.0002,1.4406,3.47196,3.52723,30.8385
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__5p0__lqi-literal,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi-literal,1,3,9,42,10,20,15,-64,-116,5,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,68.2008,26,48,142,0.309688,0.309688,21.9389,1.8159,3.34058,3.35912,37.1269
