experimentId,scenarioSet,scenarioId,manifestSha256,layout,envFactor,metric,interference,relayCap,run,seedBase,ns3Run,nNodes,spacingM,signalLossPerMDbm,backgroundNoiseDbm,interferenceDb,mobility,mobilityBoxFrac,mobilitySpeedMin,mobilitySpeedMax,mobilityPauseMin,mobilityPauseMax,mobilityWarmupS,emaAlpha,discoveryWindowS,discoveryTimeoutS,macMaxRetries,ackTimeoutS,bitrateBps,radioOverheadS,useNrf52840Energy,hfxoCrystal,boundEq17ToRMax,pingPayloadBytes,atpcMode,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,0,42,1,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,34.9107,10,74,116,0.2616,0.2616,16.0127,0.424977,1.94434,2.16165,13.8439
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,1,42,2,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,41.1924,16,79,111,0.2616,0.2616,17.3069,0.701415,1.94226,2.06223,18.6564
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,2,42,3,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,38.3503,13,76,114,0.2616,0.2616,16.825,0.655526,1.91532,2.0696,16.3616
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,3,42,4,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,37.9234,11,77,113,0.2616,0.2616,16.6735,0.560591,1.82643,2.26106,16.0785
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,4,42,5,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,42.7229,18,80,110,0.2616,0.2616,17.6236,0.711901,1.96932,2.09755,19.7974
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,5,42,6,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,44.328,19,92,98,0.2616,0.2616,19.2069,0.792167,1.87439,1.7869,20.1444
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,6,42,7,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,39.5922,17,81,109,0.2616,0.2616,17.2794,0.663447,1.89673,1.96931,17.2601
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,7,42,8,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,40.7014,13,77,113,0.2616,0.2616,16.7837,0.747658,1.91022,1.97802,18.7586
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,8,42,9,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,39.9917,19,78,112,0.2616,0.2616,17.4033,0.71785,1.97182,1.75525,17.6203
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,9,42,10,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,41.2624,16,78,112,0.2616,0.2616,17.0866,0.733019,2.02105,2.0888,18.8097
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,10,42,11,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,43.0034,21,83,107,0.2616,0.2616,18.0642,0.775971,1.96537,1.98574,19.689
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,11,42,12,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,41.4571,19,85,105,0.2616,0.2616,17.9678,0.705215,1.78531,2.17629,18.2993
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,12,42,13,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,42.5604,23,79,111,0.2616,0.2616,17.541,0.727776,2.20309,1.86519,19.7002
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,13,42,14,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,41.2088,13,81,109,0.2616,0.2616,17.596,0.674079,1.78901,2.12169,18.5048
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,14,42,15,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,43.5381,17,83,107,0.2616,0.2616,17.5685,0.68333,1.9352,2.35262,20.4752
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,15,42,16,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,40.2944,10,81,109,0.2616,0.2616,17.4446,0.556053,2.00485,2.2228,17.5429
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,16,42,17,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,39.7383,16,78,112,0.2616,0.2616,17.2794,0.711133,1.92622,1.86302,17.4354
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,radioOverheadS__0p0__hopcount,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,hopcount,1,3,17,42,18,20,15,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0,0,none,0,100,with-feedback,40.3885,11,77,113,0.2616,0.2616,16.7148,0.597084,2.00774,2.33436,18.2113
