experimentId,scenarioSet,scenarioId,manifestSha256,layout,envFactor,metric,interference,relayCap,run,seedBase,ns3Run,nNodes,spacingM,signalLossPerMDbm,backgroundNoiseDbm,interferenceDb,mobility,mobilityBoxFrac,mobilitySpeedMin,mobilitySpeedMax,mobilityPauseMin,mobilityPauseMax,mobilityWarmupS,emaAlpha,discoveryWindowS,discoveryTimeoutS,macMaxRetries,ackTimeoutS,bitrateBps,radioOverheadS,useNrf52840Energy,hfxoCrystal,boundEq17ToRMax,pingPayloadBytes,atpcMode,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,0,42,1,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,40.5472,8,39,151,0.309688,0.309688,14.7509,0.689227,2.87482,2.85497,18.7579
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,1,42,2,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,42.5284,11,36,154,0.309688,0.309688,14.3923,0.995205,2.92991,2.87184,20.7198
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,2,42,3,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,42.3541,12,32,158,0.309688,0.309688,13.8708,0.773959,3.0455,3.14671,20.8978
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,3,42,4,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,43.6573,11,39,151,0.309688,0.309688,14.6857,0.999913,2.60543,3.0306,21.7163
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,4,42,5,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,47.0821,15,42,148,0.309688,0.309688,15.6311,0.83682,2.84901,3.24679,23.899
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,5,42,6,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,44.6665,10,40,150,0.309688,0.309688,15.1095,0.901058,2.76053,3.13709,22.1389
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,6,42,7,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,46.6093,18,42,148,0.309688,0.309688,15.6474,1.08797,2.77587,2.79438,23.6843
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,7,42,8,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,38.9913,7,44,146,0.309688,0.309688,15.3703,0.758459,2.55746,2.59334,17.0924
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,8,42,9,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,39.6734,9,41,149,0.309688,0.309688,15.7289,0.792789,2.56527,2.72865,17.2384
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,9,42,10,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,41.2023,8,39,151,0.309688,0.309688,14.099,0.816326,2.69564,3.02904,19.943
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,10,42,11,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,53.4753,19,39,151,0.309688,0.309688,15.2888,1.0963,2.96738,3.66638,29.8371
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,11,42,12,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,44.4198,11,44,146,0.309688,0.309688,15.5333,1.006,2.74558,2.83348,21.6821
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,12,42,13,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,44.7809,11,41,149,0.309688,0.309688,14.7672,0.896637,2.85477,2.97751,22.6654
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,13,42,14,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,40.2413,9,32,158,0.309688,0.309688,13.121,0.788081,3.01825,3.2001,19.4945
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,14,42,15,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,44.694,10,37,153,0.309688,0.309688,14.5879,1.04228,2.79721,3.18054,22.4667
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,15,42,16,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,40.2042,8,43,147,0.309688,0.309688,15.3051,0.722178,2.66399,2.85327,18.0403
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,spacingM__10p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,16,42,17,20,10,-64,-116,15,none,0.3,0.5,2,0,2,0,0.2,0.15,1,4,0.05,1e+06,0.0001,0,none,0,100,with-feedback,43.9444,10,41,149,0.309688,0.309688,14.8976,0.791697,2.80051,3.07919,21.756
