parameter,comparator,effect_pct,ci95_low,ci95_high,p_permutation,n_runs
ackTimeoutS__0p02,hopcount,10.052,7.432,12.555,2e-05,20
ackTimeoutS__0p02,lqi,19.693,17.101,22.258,5e-06,20
ackTimeoutS__0p02,lqi-literal,10.052,7.432,12.555,2e-05,20
ackTimeoutS__0p1,hopcount,3.311,0.062,6.964,0.07567,20
ackTimeoutS__0p1,lqi,17.824,13.593,22.063,1e-05,20
ackTimeoutS__0p1,lqi-literal,3.311,0.062,6.964,0.07567,20
backgroundNoiseDbm__m113p0,hopcount,7.071,4.383,9.855,0.000135,20
backgroundNoiseDbm__m113p0,lqi,16.22,13.28,19.089,5e-06,20
backgroundNoiseDbm__m113p0,lqi-literal,7.071,4.383,9.855,0.000135,20
backgroundNoiseDbm__m119p0,hopcount,12.452,8.496,16.313,6e-05,20
backgroundNoiseDbm__m119p0,lqi,20.734,16.585,24.936,5e-06,20
backgroundNoiseDbm__m119p0,lqi-literal,12.452,8.496,16.313,6e-05,20
discoveryTimeoutS__0p5,hopcount,7.011,3.99,10.262,0.00034,20
discoveryTimeoutS__0p5,lqi,19.463,15.499,23.361,5e-06,20
discoveryTimeoutS__0p5,lqi-literal,7.011,3.99,10.262,0.00034,20
discoveryTimeoutS__2p0,hopcount,2.366,-2.677,8.258,0.421663,20
discoveryTimeoutS__2p0,lqi,14.542,9.636,19.615,2.5e-05,20
discoveryTimeoutS__2p0,lqi-literal,2.366,-2.677,8.258,0.421663,20
discoveryWindowS__0p05,hopcount,5.464,1.703,9.291,0.012045,20
discoveryWindowS__0p05,lqi,21.15,17.979,23.868,5e-06,20
discoveryWindowS__0p05,lqi-literal,5.464,1.703,9.291,0.012045,20
discoveryWindowS__0p3,hopcount,7.264,3.893,10.859,0.000745,20
discoveryWindowS__0p3,lqi,20.974,17.072,24.738,5e-06,20
discoveryWindowS__0p3,lqi-literal,7.264,3.893,10.859,0.000745,20
emaAlpha__0p1,hopcount,4.808,1.675,8.189,0.00917,20
emaAlpha__0p1,lqi,16.704,11.904,21.648,1.5e-05,20
emaAlpha__0p1,lqi-literal,4.808,1.675,8.189,0.00917,20
emaAlpha__0p5,hopcount,7.873,4.403,11.688,0.00022,20
emaAlpha__0p5,lqi,22.98,18.658,27.283,5e-06,20
emaAlpha__0p5,lqi-literal,7.873,4.403,11.688,0.00022,20
interferenceDb__25p0,hopcount,3.516,0.575,6.474,0.034355,20
interferenceDb__25p0,lqi,17.883,15.422,20.576,5e-06,20
interferenceDb__25p0,lqi-literal,3.516,0.575,6.474,0.034355,20
interferenceDb__5p0,hopcount,-4.68,-8.046,-1.33,0.01943,20
interferenceDb__5p0,lqi,9.386,5.792,13.159,0.000105,20
interferenceDb__5p0,lqi-literal,-4.68,-8.046,-1.33,0.01943,20
radioOverheadS__0p0002,hopcount,7.689,4.605,10.945,0.000195,20
radioOverheadS__0p0002,lqi,19.861,16.025,23.62,5e-06,20
radioOverheadS__0p0002,lqi-literal,7.689,4.605,10.945,0.000195,20
radioOverheadS__0p0,hopcount,5.644,2.457,9.091,0.003415,20
radioOverheadS__0p0,lqi,18.894,14.805,22.932,5e-06,20
radioOverheadS__0p0,lqi-literal,5.644,2.457,9.091,0.003415,20
reference,hopcount,6.762,3.634,10.109,0.000655,20
reference,lqi,19.426,15.467,23.312,5e-06,20
reference,lqi-literal,6.762,3.634,10.109,0.000655,20
spacingM__10p0,hopcount,9.464,5.438,14.199,0.0001,20
spacingM__10p0,lqi,29.058,23.026,35.07,1e-05,20
spacingM__10p0,lqi-literal,9.464,5.438,14.199,0.0001,20
spacingM__20p0,hopcount,8.102,5.169,11.132,0.000125,20
spacingM__20p0,lqi,16.299,12.664,19.957,1e-05,20
spacingM__20p0,lqi-literal,8.102,5.169,11.132,0.000125,20
