comparator,endpoint,relayCap,interference,n_cells,effect_pct_geomean,ci95_low,ci95_high,p_raw,test,effect_pct_meanpct,p_holm,significant_holm_0p05
hopcount,totalEnergyMWs,1,0,30,-3.443,-5.655,-1.642,1.9999900000499998e-05,monte_carlo,-3.287,0.00012,1
hopcount,totalEnergyMWs,2,0,30,-0.075,-2.347,1.96,0.9499802500987495,monte_carlo,0.095,0.94998,0
hopcount,totalEnergyMWs,3,0,30,1.329,-0.731,3.304,0.20202898985505072,monte_carlo,1.475,0.40406,0
hopcount,totalEnergyMWs,1,1,5,-2.599,-5.341,-0.46,0.125,exact,-2.562,0.375,0
hopcount,totalEnergyMWs,2,1,5,4.708,1.889,7.899,0.0625,exact,4.754,0.3125,0
hopcount,totalEnergyMWs,3,1,5,6.602,2.818,10.748,0.0625,exact,6.689,0.3125,0
hopcount,pingTimeouts,1,0,30,-11.366,-17.625,-5.754,0.00011999940000299999,monte_carlo,,0.00048,1
hopcount,pingTimeouts,2,0,30,-13.895,-21.195,-7.521,9.999950000249999e-06,monte_carlo,,6e-05,1
hopcount,pingTimeouts,3,0,30,-14.092,-21.421,-7.791,1.9999900000499998e-05,monte_carlo,,0.0001,1
hopcount,pingTimeouts,1,1,5,-7.111,-20.825,2.897,0.625,exact,,1.0,0
hopcount,pingTimeouts,2,1,5,-2.701,-15.629,9.445,1.0,exact,,1.0,0
hopcount,pingTimeouts,3,1,5,-4.018,-14.788,6.857,0.75,exact,,1.0,0
hopcount,pingNoRoute,1,0,30,-4.587,-7.583,-1.869,0.00037999810000949997,monte_carlo,,0.00152,1
hopcount,pingNoRoute,2,0,30,-9.242,-13.172,-5.428,4.9999750001249995e-06,monte_carlo,,3e-05,1
hopcount,pingNoRoute,3,0,30,-9.052,-12.799,-5.148,9.999950000249999e-06,monte_carlo,,5e-05,1
hopcount,pingNoRoute,1,1,5,-0.968,-3.917,1.472,0.5,exact,,0.5,0
hopcount,pingNoRoute,2,1,5,-3.693,-7.286,-0.088,0.125,exact,,0.375,0
hopcount,pingNoRoute,3,1,5,-4.373,-7.954,-1.144,0.125,exact,,0.375,0
lqi,totalEnergyMWs,1,0,30,7.32,3.183,11.913,0.0016849915750421249,monte_carlo,8.017,0.00674,1
lqi,totalEnergyMWs,2,0,30,11.063,6.49,16.17,1.9999900000499998e-05,monte_carlo,11.887,0.0001,1
lqi,totalEnergyMWs,3,0,30,12.623,8.025,17.681,9.999950000249999e-06,monte_carlo,13.459,6e-05,1
lqi,totalEnergyMWs,1,1,5,6.326,2.427,10.199,0.0625,exact,6.406,0.1875,0
lqi,totalEnergyMWs,2,1,5,14.302,7.115,20.965,0.0625,exact,14.579,0.1875,0
lqi,totalEnergyMWs,3,1,5,16.37,7.65,24.322,0.0625,exact,16.75,0.1875,0
lqi,pingTimeouts,1,0,30,49.598,12.997,112.116,0.007679961600191999,monte_carlo,,0.04608,1
lqi,pingTimeouts,2,0,30,45.329,8.264,108.481,0.017274913625431872,monte_carlo,,0.08637,0
lqi,pingTimeouts,3,0,30,44.997,8.509,106.755,0.018064909675451622,monte_carlo,,0.08637,0
lqi,pingTimeouts,1,1,5,15.989,0.751,39.125,0.125,exact,,0.1875,0
lqi,pingTimeouts,2,1,5,21.495,4.75,44.039,0.0625,exact,,0.1875,0
lqi,pingTimeouts,3,1,5,19.851,3.396,42.387,0.0625,exact,,0.1875,0
lqi,pingNoRoute,1,0,30,68.056,29.933,131.84,4.9999750001249995e-06,monte_carlo,,3e-05,1
lqi,pingNoRoute,2,0,30,59.857,22.81,122.512,0.000264998675006625,monte_carlo,,0.00132,1
lqi,pingNoRoute,3,0,30,60.191,23.099,123.386,0.00027499862500687496,monte_carlo,,0.00132,1
lqi,pingNoRoute,1,1,5,6.889,1.651,12.724,0.0625,exact,,0.1875,0
lqi,pingNoRoute,2,1,5,3.947,1.619,6.349,0.0625,exact,,0.1875,0
lqi,pingNoRoute,3,1,5,3.213,-0.506,6.34,0.125,exact,,0.1875,0
